time,.layout.dim,fault,Fx,Fy,Fz,Wx,Wy,Wz
1970/01/01/01:00:04.020000,[],0,-1.2480859871790776e-18, 1.674503693407181e-18, -7.220156192779541, -2.9156270945752467e-19, -2.2221421334655163e-19, -3.809386440656902e-19
1970/01/01/01:00:04.030000,[],0,-1.371104287877964e-18, 1.5967489226223495e-18, -7.220156669616699, -2.797547062133302e-19, -2.410094629237698e-19, -4.1315906083403814e-19
1970/01/01/01:00:04.040000,[],0,-1.4915250346582805e-18, 1.520389605530895e-18, -7.220156669616699, -2.6815489398955767e-19, -2.5940469312663617e-19, -4.446937448745796e-19
1970/01/01/01:00:04.050000,[],0,-1.5054202213830994e-18, 1.477302698001197e-18, -7.220156669616699, -2.612742247085826e-19, -2.6052438548330327e-19, -4.466132174860089e-19
1970/01/01/01:00:04.060000,[],0,-1.518887135345769e-18, 1.4349298541352852e-18, -7.220156669616699, -2.5450501801514903e-19, -2.615956360753477e-19, -4.484496618434532e-19
1970/01/01/01:00:04.070000,[],0,-1.5319327041839194e-18, 1.3932610443682327e-18, -7.220157146453857, -2.4784577464439673e-19, -2.626192720833821e-19, -4.502044738141962e-19
1970/01/01/01:00:04.080000,[],0,-1.5445641657279104e-18, 1.3522862391351122e-18, -7.220157146453857, -2.4129491778328303e-19, -2.6359619823620136e-19, -4.518792043618864e-19
1970/01/01/01:00:04.090000,[],0,-1.5567886544105253e-18, 1.3119957190637262e-18, -7.220157146453857, -2.3485094816694767e-19, -2.6452721586502394e-19, -4.534752493538074e-19
1970/01/01/01:00:04.100000,[],0,-1.4623469623335085e-18, 1.326708056836171e-18, -7.220157146453857, -2.3778782708242305e-19, -2.511691537010875e-19, -4.30575684673466e-19
1970/01/01/01:00:04.110000,[],0,-1.3696480364095643e-18, 1.3409934660149617e-18, -7.220157623291016, -2.406422205811904e-19, -2.380531194145053e-19, -4.0809105446789646e-19
1970/01/01/01:00:04.120000,[],0,-1.2786660272445505e-18, 1.3548590810328819e-18, -7.220157623291016, -2.4341542113295686e-19, -2.251755974876739e-19, -3.8601530997886954e-19
1970/01/01/01:00:04.120000,[],0,-1.1893758092273608e-18, 1.368311932925138e-18, -7.220157623291016, -2.4610885045440023e-19, -2.125331111770812e-19, -3.6434247999633837e-19
1970/01/01/01:00:04.140000,[],0,-1.101752463542042e-18, 1.3813588459317838e-18, -7.220157623291016, -2.487237751658335e-19, -2.001222225133063e-19, -3.430666708584385e-19
