time,.layout.dim,fault,Fx,Fy,Fz,Wx,Wy,Wz
1970/01/01/01:00:06.520000,[],0,4.916087925803849e-19, 1.2003263363690675e-18, -7.220159530639648, -2.0068519646833105e-19, 7.590661018949218e-20, 1.3012561746770089e-19
1970/01/01/01:00:06.530000,[],0,6.009923133510416e-19, 9.6284619462512e-19, -7.220159530639648, -1.6214749796433905e-19, 9.615952002709072e-20, 1.6484489516778326e-19
1970/01/01/01:00:06.540000,[],0,7.08128074204662e-19, 7.300193057183013e-19, -7.220159530639648, -1.2436435620005733e-19, 1.1599774742151024e-19, 1.9885328867955873e-19
1970/01/01/01:00:06.540000,[],0,8.130502997390906e-19, 5.017760313807921e-19, -7.220159530639648, -8.732442329145744e-20, 1.3542762547431558e-19, 2.321616288991729e-19
1970/01/01/01:00:06.560000,[],0,9.15792749263077e-19, 2.780474312784149e-19, -7.220159530639648, -5.1016564612012585e-20, 1.5445535157775238e-19, 2.647805916264066e-19
1970/01/01/01:00:06.570000,[],0,8.396048136547859e-19, 4.353493439885095e-19, -7.220159530639648, -7.526535134430752e-20, 1.4224608818828726e-19, 2.4385044058697733e-19
1970/01/01/01:00:06.580000,[],0,7.648566376014315e-19, 5.894617258047821e-19, -7.220159530639648, -9.902163603235809e-20, 1.302667810091119e-19, 2.2331449280821787e-19
1970/01/01/01:00:06.590000,[],0,6.915269212022408e-19, 7.4043288924488455e-19, -7.220159530639648, -1.2229288915107141e-19, 1.1851403084489655e-19, 2.0316691925174913e-19
1970/01/01/01:00:06.600000,[],0,6.195946230503818e-19, 8.883106039891918e-19, -7.220159530639648, -1.4508649716482365e-19, 1.0698449019909981e-19, 1.8340198135207152e-19
1970/01/01/01:00:06.610000,[],0,5.490390636305407e-19, 1.0331418642362546e-18, -7.220159530639648, -1.6740972375336877e-19, 9.567484388692293e-20, 1.6401401809186788e-19
1970/01/01/01:00:06.620000,[],0,6.9643701361956725e-19, 9.800877405180222e-19, -7.220160007476807, -1.5919243400008457e-19, 1.1841033600029478e-19, 2.0298915296823266e-19
1970/01/01/01:00:06.630000,[],0,8.40817357035212e-19, 9.279965584303781e-19, -7.220160007476807, -1.5112357146796535e-19, 1.4067927886114112e-19, 2.411644817404411e-19
1970/01/01/01:00:06.640000,[],0,9.822260024014718e-19, 8.76854462698062e-19, -7.220160007476807, -1.4320097773260023e-19, 1.624887875151996e-19, 2.7855219239783123e-19
1970/01/01/01:00:06.650000,[],0,1.1207082378568838e-18, 8.2664749464823725e-19, -7.220160007476807, -1.354225072942754e-19, 1.8384584129888865e-19, 3.1516431783337635e-19
1970/01/01/01:00:06.660000,[],0,1.2563087828533142e-18, 7.773620058007965e-19, -7.220160007476807, -1.2778606635206536e-19, 2.0475738077453546e-19, 3.5101264537080533e-19
1970/01/01/01:00:06.670000,[],0,1.2597545070924804e-18, 1.0349326068648553e-18, -7.220160007476807, -1.6718554488266983e-19, 2.055737692650341e-19, 3.5241218326845676e-19
1970/01/01/01:00:06.680000,[],0,1.2630053268998138e-18, 1.2872483362925179e-18, -7.220160007476807, -2.0578029299953385e-19, 2.0635328359478875e-19, 3.537484935480362e-19
1970/01/01/01:00:06.690000,[],0,1.2660647577929177e-18, 1.5343890170128956e-18, -7.220160007476807, -2.43582589164875e-19, 2.07096569998653e-19, 3.550226877334917e-19
1970/01/01/01:00:06.700000,[],0,1.2689364186869721e-18, 1.776433437979334e-18, -7.220160007476807, -2.8060445334696944e-19, 2.078042747114804e-19, 3.5623590319816556e-19
1970/01/01/01:00:06.710000,[],0,1.4324163624464663e-18, 1.8029530552129373e-18, -7.220160007476807, -2.8526610723719445e-19, 2.340524862312867e-19, 4.012328224610369e-19
1970/01/01/01:00:06.720000,[],0,1.5924834623961433e-18, 1.8287619175052043e-18, -7.220160007476807, -2.8980598463161517e-19, 2.597523157790616e-19, 4.452896768071358e-19
1970/01/01/01:00:06.730000,[],0,1.5839763233863417e-18, 2.1027547420654316e-18, -7.220160007476807, -3.3453908497787036e-19, 2.5824278870933474e-19, 4.42701893959552e-19
1970/01/01/01:00:06.740000,[],0,1.5754808683026924e-18, 2.3710575979870596e-18, -7.220160007476807, -3.783440628274469e-19, 2.567376043378238e-19, 4.401216074362694e-19
1970/01/01/01:00:06.750000,[],0,1.5669978209282313e-18, 2.6337571324392535e-18, -7.220160007476807, -4.212351094977289e-19, 2.552368660621053e-19, 4.375489206348646e-19
