time,.layout.dim,fault,Fx,Fy,Fz,Wx,Wy,Wz
1970/01/01/01:00:10.880000,[],0,-1.0577232872796246e-15, -2.3945104728781245e-15, 0.20550402998924255, 8.048063897172358e-14, -7.766265522389862e-14, -5.5418477224149836e-17
1970/01/01/01:00:10.890000,[],0,-1.140090676894764e-15, -2.5017793605931196e-15, -0.014872781001031399, 8.350788051510183e-14, -8.107516800926959e-14, -5.648489501346545e-17
1970/01/01/01:00:10.900000,[],0,-1.2236992874149863e-15, -2.6086700480971656e-15, -0.22234056890010834, 8.660274239272528e-14, -8.459948236741455e-14, -5.75245551643262e-17
1970/01/01/01:00:10.910000,[],0,-1.3085200020827295e-15, -2.7151814765990785e-15, -0.4176599979400635, 8.976769116453634e-14, -8.823736690312736e-14, -5.853793082404246e-17
1970/01/01/01:00:10.920000,[],0,-1.3945201042504058e-15, -2.8213111050000165e-15, -0.6015576720237732, 9.300099210705903e-14, -9.198619242613976e-14, -5.952543227419807e-17
1970/01/01/01:00:10.930000,[],0,-1.495583946231171e-15, -2.9430911494091353e-15, -0.8196148872375488, 9.630147970295794e-14, -9.584347882398217e-14, -6.068133446217967e-17
1970/01/01/01:00:10.940000,[],0,-1.59783511664575e-15, -3.064251377459101e-15, -1.0229716300964355, 9.966695844283377e-14, -9.980654947254128e-14, -6.180830518105662e-17
1970/01/01/01:00:10.950000,[],0,-1.7046239484378887e-15, -3.187352369749463e-15, -1.2215341329574585, 1.0311358293905656e-13, -1.0388907209545398e-13, -6.290203647419873e-17
1970/01/01/01:00:10.960000,[],0,-1.8125766034995548e-15, -3.3098441335925122e-15, -1.4062385559082031, 1.0663926610244429e-13, -1.0808824809586254e-13, -6.396796126386926e-17
1970/01/01/01:00:10.970000,[],0,-1.9216587769963845e-15, -3.4317260337135384e-15, -1.5780088901519775, 1.1024209025040435e-13, -1.1240132631075428e-13, -6.500651630143164e-17
1970/01/01/01:00:10.980000,[],0,-2.0318370111269612e-15, -3.552998281870778e-15, -1.7377090454101562, 1.1392014447660775e-13, -1.168255894584344e-13, -6.6018158190584e-17
