time,.layout.dim,fault,Fx,Fy,Fz,Wx,Wy,Wz
1970/01/01/01:00:05.930000,[],0,-4.587343085920547e-19, -3.3811240182652287e-19, -7.220122337341309, 3.106347220354757e-20, -5.790657198662156e-20, -9.926841373588592e-20
1970/01/01/01:00:05.940000,[],0,-5.185387430966027e-19, -3.7954282848079523e-19, -7.220123767852783, 3.5675366010048694e-20, -6.638916699668508e-20, -1.1380999687297526e-19
1970/01/01/01:00:05.950000,[],0,-5.770952722495378e-19, -4.2010668004584174e-19, -7.220125198364258, 4.019145873068425e-20, -7.469546913869823e-20, -1.2804938120549571e-19
1970/01/01/01:00:05.960000,[],0,-6.344229212049488e-19, -4.598172431102515e-19, -7.220126628875732, 4.461320762504901e-20, -8.282817321200035e-20, -1.4199116146325608e-19
1970/01/01/01:00:05.970000,[],0,-6.905405600205596e-19, -4.986876491662488e-19, -7.220128059387207, 4.8942060259214947e-20, -9.07899417041881e-20, -1.5563990006432246e-19
1970/01/01/01:00:05.970000,[],0,-6.037320389373938e-19, -4.835803843500983e-19, -7.220129489898682, 4.924951618431752e-20, -7.73455684132106e-20, -1.3259239930130473e-19
1970/01/01/01:00:05.990000,[],0,-5.185992823776839e-19, -4.6872685718684845e-19, -7.220130443572998, 4.954589564403012e-20, -6.416234508890405e-20, -1.0999258419543718e-19
1970/01/01/01:00:06.000000,[],0,-4.351173715254767e-19, -4.541236038576842e-19, -7.220131874084473, 4.9831392508808824e-20, -5.1236368472752945e-20, -8.783377267833404e-20
1970/01/01/01:00:06.010000,[],0,-3.5326151681178973e-19, -4.397669537486372e-19, -7.220132827758789, 5.0106197417935425e-20, -3.85637870050301e-20, -6.610935376744341e-20
1970/01/01/01:00:06.020000,[],0,-2.470465372269115e-19, -3.5024783934631763e-19, -7.2201337814331055, 3.2894426795910896e-20, -2.383731284516382e-20, -4.0863966262212664e-20
1970/01/01/01:00:06.030000,[],0,-4.52794428010888e-19, -2.3665756232355176e-19, -7.220134735107422, 1.3344150343126468e-20, -5.718600720020838e-20, -9.803315520035722e-20
1970/01/01/01:00:06.040000,[],0,-6.543820656028173e-19, -1.253154458834314e-19, -7.2201361656188965, -5.8164565903826446e-21, -8.986200661561699e-20, -1.5404915419820056e-19
1970/01/01/01:00:06.050000,[],0,-8.51872574223195e-19, -1.618763701315292e-20, -7.220137119293213, -2.4593270298919192e-20, -1.2187549898385598e-19, -2.0892943421500858e-19
1970/01/01/01:00:06.060000,[],0,-1.0453279924179623e-18, 9.07592390862956e-20, -7.220138072967529, -4.2992085489635663e-20, -1.532365397192467e-19, -2.6269121094728006e-19
1970/01/01/01:00:06.070000,[],0,-1.2428564479489408e-18, 3.6732819487969706e-20, -7.2201385498046875, -3.409536702954145e-20, -1.8443807676808247e-19, -3.161795527883145e-19
1970/01/01/01:00:06.080000,[],0,-1.4363099015897534e-18, -1.6216741815369994e-20, -7.220139503479004, -2.5373172369585985e-20, -2.149971400502089e-19, -3.685665294931287e-19
1970/01/01/01:00:06.090000,[],0,-1.6257508054766478e-18, -6.810568955235479e-20, -7.22014045715332, -1.6822884258612368e-20, -2.449235264860059e-19, -4.198688914691269e-19
1970/01/01/01:00:06.100000,[],0,-1.8112401641798e-18, -1.189500455005915e-19, -7.220141410827637, -8.441919372793501e-21, -2.742268908241856e-19, -4.701032340273484e-19
1970/01/01/01:00:06.110000,[],0,-1.992838775474232e-18, -1.6876562787370804e-19, -7.220141887664795, -2.277291991563176e-22, -3.029167456417924e-19, -5.192858939848912e-19
1970/01/01/01:00:06.120000,[],0,-2.170606092966472e-18, -2.175680173940237e-19, -7.220142841339111, 7.822199535277894e-21, -3.310025518170823e-19, -5.674329238155176e-19
1970/01/01/01:00:06.130000,[],0,-1.9947944372374606e-18, -2.351179465590433e-19, -7.2201433181762695, 1.1060926672914107e-20, -3.0248999799389744e-19, -5.185543044318763e-19
1970/01/01/01:00:06.140000,[],0,-1.822299775764787e-18, -2.522933697017295e-19, -7.220143795013428, 1.4233773398404446e-20, -2.74517463863739e-19, -4.706013518524702e-19
1970/01/01/01:00:06.150000,[],0,-1.6530727879044274e-18, -2.6910005123697607e-19, -7.220144748687744, 1.7341738144597656e-20, -2.4707693611442284e-19, -4.235604434465862e-19
1970/01/01/01:00:06.160000,[],0,-1.4870648767953946e-18, -2.8554367803149428e-19, -7.220145225524902, 2.0385811266406815e-20, -2.2016050483134146e-19, -3.774179824329055e-19
1970/01/01/01:00:06.170000,[],0,-1.3194665041635755e-18, -2.242092178876647e-19, -7.2201457023620605, 1.035221868047656e-20, -1.9339823933492465e-19, -3.3153983147432965e-19
1970/01/01/01:00:06.180000,[],0,-1.3555409880503553e-18, -2.749447543489109e-19, -7.220146656036377, 1.962998144403502e-20, -1.9751860691181028e-19, -3.386033335200731e-19
