time,.layout.dim,fault,Fx,Fy,Fz,Wx,Wy,Wz
1970/01/01/01:00:08.840000,[],0,-3.038440668072526e-19, -2.330222844771402e-19, -7.220154762268066, 5.2431650920240605e-20, -4.7644698554259414e-20, -1.7008067961154484e-18
1970/01/01/01:00:08.840000,[],0,-3.543849314812133e-19, -2.8338863989124636e-19, -7.220154762268066, 6.006087341913643e-20, -5.400635723729722e-20, -1.6999896450678226e-18
1970/01/01/01:00:08.850000,[],0,-4.567168667768262e-19, -4.251460711326679e-19, -7.220155239105225, 8.127255667251782e-20, -7.009431575546323e-20, -1.7159197994970985e-18
1970/01/01/01:00:08.860000,[],0,-5.569564745623803e-19, -5.640258185711999e-19, -7.220155239105225, 1.0205187003477832e-19, -8.585350229188209e-20, -1.7313598494134368e-18
1970/01/01/01:00:08.870000,[],0,-6.551355754420649e-19, -7.00071593532337e-19, -7.220155715942383, 1.224053986390757e-19, -1.0128892516666887e-19, -1.7463178598278097e-18
1970/01/01/01:00:08.880000,[],0,-7.512856022791568e-19, -8.333264611067201e-19, -7.220155715942383, 1.4233961129629404e-19, -1.1640550868940767e-19, -1.7608022059439195e-18
1970/01/01/01:00:08.890000,[],0,-8.454374709490504e-19, -9.638328143007427e-19, -7.220155715942383, 1.6186090573148357e-19, -1.3120811254619723e-19, -1.774820642580009e-18
1970/01/01/01:00:08.900000,[],0,-7.923530517408833e-19, -9.866768544824665e-19, -7.220156192779541, 1.6674954315167196e-19, -1.2388707298661424e-19, -1.750985019638987e-18
1970/01/01/01:00:08.910000,[],0,-7.4025101290769945e-19, -1.0089653394852844e-18, -7.220156192779541, 1.715237323792954e-19, -1.1670006253565897e-19, -1.727451110826394e-18
1970/01/01/01:00:08.920000,[],0,-6.891170338851441e-19, -1.0307071615007813e-18, -7.220156192779541, 1.7618528287194385e-19, -1.096451295640737e-19, -1.7042150904318966e-18
1970/01/01/01:00:08.930000,[],0,-6.389368458076506e-19, -1.0519111093229656e-18, -7.220156669616699, 1.8073597823781311e-19, -1.0272032244260067e-19, -1.681273339540315e-18
1970/01/01/01:00:08.940000,[],0,-6.67004014569764e-19, -9.95474850875157e-19, -7.220156669616699, 1.706633094458754e-19, -1.06853718114134e-19, -1.6773594310744437e-18
1970/01/01/01:00:08.950000,[],0,-6.944431981505847e-19, -9.40067708506941e-19, -7.220156669616699, 1.6077503730705165e-19, -1.108937586987225e-19, -1.6733559803072637e-18
1970/01/01/01:00:08.960000,[],0,-7.212641676210987e-19, -8.856747929672916e-19, -7.220156669616699, 1.5106843471025986e-19, -1.1484191761183223e-19, -1.6692653653830358e-18
1970/01/01/01:00:08.970000,[],0,-7.474765389559267e-19, -8.322811116076062e-19, -7.220157146453857, 1.415408779419946e-19, -1.1869961657014106e-19, -1.665089550855715e-18
1970/01/01/01:00:08.980000,[],0,-9.342497336685493e-19, -6.9122251873682125e-19, -7.220157146453857, 1.162542121854929e-19, -1.5193974023861377e-19, -1.711353245527923e-18
1970/01/01/01:00:08.990000,[],0,-1.1149955217514394e-18, -7.247867162596557e-19, -7.220157146453857, 1.1909234641534475e-19, -1.8083207336053705e-19, -1.7502329056670232e-18
1970/01/01/01:00:09.000000,[],0,-1.1750116110952243e-18, -7.872739042858663e-19, -7.220157146453857, 1.2926302318517293e-19, -1.8956959509563175e-19, -1.7546304045985083e-18
1970/01/01/01:00:09.010000,[],0,-1.2337100017232123e-18, -8.484325885495283e-19, -7.220157623291016, 1.3921736637542435e-19, -1.981134014710242e-19, -1.7587646533000483e-18
1970/01/01/01:00:09.020000,[],0,-1.2911109595604108e-18, -9.08283293469591e-19, -7.220157623291016, 1.489586976332463e-19, -2.0646652979052609e-19, -1.7626402012650124e-18
1970/01/01/01:00:09.030000,[],0,-1.347234853929404e-18, -9.668461298746968e-19, -7.220157623291016, 1.584903127563919e-19, -2.146319527344638e-19, -1.7662618047819227e-18
1970/01/01/01:00:09.040000,[],0,-1.364367522174179e-18, -9.683997818602245e-19, -7.220157623291016, 1.6190537961410536e-19, -2.168623289339394e-19, -1.75977691557466e-18
1970/01/01/01:00:09.050000,[],0,-1.3810210460491325e-18, -9.698254276459596e-19, -7.220157623291016, 1.6523597065176184e-19, -2.190264143621371e-19, -1.7532459110482476e-18
1970/01/01/01:00:09.060000,[],0,-1.3972033871676605e-18, -9.711256521713164e-19, -7.220158100128174, 1.6848341711315968e-19, -2.21125307618308e-19, -1.7466700319736042e-18
1970/01/01/01:00:09.070000,[],0,-1.4129224037455822e-18, -9.723027301829794e-19, -7.220158100128174, 1.7164907609149133e-19, -2.23160094377006e-19, -1.740050932711955e-18
1970/01/01/01:00:09.080000,[],0,-1.5434986537013655e-18, -8.428924946981662e-19, -7.220158100128174, 1.5349451667278668e-19, -2.423599386713392e-19, -1.762924131010271e-18
1970/01/01/01:00:09.090000,[],0,-1.6713090184839246e-18, -7.159861866263392e-19, -7.220158100128174, 1.3568770915347816e-19, -2.6115151763458917e-19, -1.7851635021642188e-18
1970/01/01/01:00:09.100000,[],0,-1.7963962012923826e-18, -5.915464277435689e-19, -7.220158100128174, 1.1822345780534315e-19, -2.7954119021771495e-19, -1.8067793859314545e-18
1970/01/01/01:00:09.110000,[],0,-1.9188017679525202e-18, -4.695362534162316e-19, -7.220158100128174, 1.0109667676008418e-19, -2.9753508272712824e-19, -1.8277825356599415e-18
1970/01/01/01:00:09.120000,[],0,-2.038567594482848e-18, -3.4991937109495165e-19, -7.220158576965332, 8.430231892349495e-20, -3.151393473186349e-19, -1.8481826707218774e-18
1970/01/01/01:00:09.130000,[],0,-1.988902016143939e-18, -3.088260463896888e-19, -7.220158576965332, 7.358110821957299e-20, -3.0617550121312746e-19, -1.8231023477541165e-18
1970/01/01/01:00:09.140000,[],0,-1.9400311515785405e-18, -2.685237389945739e-19, -7.220158576965332, 6.306696408742777e-20, -2.9736031497333227e-19, -1.798341316502801e-18
1970/01/01/01:00:09.150000,[],0,-1.8919434202580765e-18, -2.290006098870898e-19, -7.220158576965332, 5.27567975244593e-20, -2.886916689489297e-19, -1.7738956478600214e-18
1970/01/01/01:00:09.160000,[],0,-1.8446284824248902e-18, -1.9024503976456958e-19, -7.220158576965332, 4.264755830215879e-20, -2.801675468871766e-19, -1.749761619513021e-18
1970/01/01/01:00:09.170000,[],0,-1.708922058310053e-18, -2.260969215936931e-19, -7.220158576965332, 4.9180291506804487e-20, -2.5837069151155075e-19, -1.702937613373385e-18
1970/01/01/01:00:09.180000,[],0,-1.5757589043860867e-18, -2.612091359341323e-19, -7.220158576965332, 5.557745110152245e-20, -2.3698391092459807e-19, -1.6568797832761262e-18
1970/01/01/01:00:09.190000,[],0,-1.4451014873326967e-18, -2.9559299189582444e-19, -7.220158576965332, 6.184111473136686e-20, -2.1600118221748341e-19, -1.6115775826684345e-18
1970/01/01/01:00:09.200000,[],0,-1.316912584022318e-18, -3.292596305676448e-19, -7.22015905380249, 6.797331480495216e-20, -1.9541649540606868e-19, -1.5670201548047703e-18
1970/01/01/01:00:09.210000,[],0,-1.191155901905575e-18, -3.622199862433156e-19, -7.22015905380249, 7.397608049971852e-20, -1.7522396975318652e-19, -1.5231971599274766e-18
1970/01/01/01:00:09.220000,[],0,-1.3869873964099009e-18, -1.7860952952748656e-19, -7.22015905380249, 4.4625586253668897e-20, -2.0726556041285817e-19, -1.5689802626637912e-18
1970/01/01/01:00:09.230000,[],0,-1.3355206322871578e-18, -5.520869010703719e-20, -7.22015905380249, 2.3402820072549004e-20, -1.9974752262051684e-19, -1.547008381040428e-18
1970/01/01/01:00:09.240000,[],0,-1.2849494979726565e-18, 6.572965201688743e-20, -7.22015905380249, 2.6021702568563516e-21, -1.9235986917222918e-19, -1.5253212563429362e-18
1970/01/01/01:00:09.250000,[],0,-1.2352613789620555e-18, 1.8424265534836682e-19, -7.22015905380249, -1.7782727193077855e-20, -1.8510072598691988e-19, -1.5039153730537124e-18
1970/01/01/01:00:09.260000,[],0,-1.1864434539558603e-18, 3.0036696140359767e-19, -7.22015905380249, -3.77581486313204e-20, -1.779682706823019e-19, -1.4827872156551532e-18
1970/01/01/01:00:09.270000,[],0,-1.0709978883673205e-18, 3.3078779505054823e-19, -7.22015905380249, -4.2830168115902676e-20, -1.6004954821105436e-19, -1.4432285436307235e-18
1970/01/01/01:00:09.280000,[],0,-9.577541741718202e-19, 3.6056715013246393e-19, -7.22015905380249, -4.779646357844302e-20, -1.4247320096522135e-19, -1.4043167268453102e-18
1970/01/01/01:00:09.290000,[],0,-8.466795860363753e-19, 3.8971482356972467e-19, -7.22015905380249, -5.2658650606075324e-20, -1.2523413661415684e-19, -1.3660426663121754e-18
1970/01/01/01:00:09.300000,[],0,-7.377417605195198e-19, 4.1824058643331625e-19, -7.22015905380249, -5.741833509241068e-20, -1.0832732098835162e-19, -1.3283975732373105e-18
1970/01/01/01:00:09.310000,[],0,-5.908302961282511e-19, 4.502494517600038e-19, -7.22015905380249, -6.257210974831646e-20, -8.488785293725739e-20, -1.2796125286604643e-18
1970/01/01/01:00:09.320000,[],0,-4.467979372565497e-19, 4.815731271961618e-19, -7.22015905380249, -6.761656085404599e-20, -6.190868504765479e-20, -1.231675344211485e-18
1970/01/01/01:00:09.330000,[],0,-3.0560156711498637e-19, 5.122221851439946e-19, -7.220159530639648, -7.255335569552146e-20, -3.938290906895927e-20, -1.1845736121811842e-18
1970/01/01/01:00:09.340000,[],0,-1.6719857297731754e-19, 5.422070170599473e-19, -7.220159530639648, -7.738416155866503e-20, -1.7303712070227225e-20, -1.1382955452458331e-18
1970/01/01/01:00:09.350000,[],0,-3.15469108039708e-20, 5.715379110028885e-19, -7.220159530639648, -8.211061341765621e-20, 4.335631637779749e-21, -1.0928291492865497e-18
1970/01/01/01:00:09.360000,[],0,3.937523503007328e-21, 5.570929593634516e-19, -7.220159530639648, -7.799086622623e-20, 9.22788070300596e-21, -1.0761294066948697e-18
1970/01/01/01:00:09.370000,[],0,3.871187495289697e-20, 5.42881169259178e-19, -7.220159530639648, -7.394571392394988e-20, 1.4021362464388778e-20, -1.0596561047958762e-18
1970/01/01/01:00:09.380000,[],0,7.278686619750576e-20, 5.288992836664059e-19, -7.220159530639648, -6.997407083626187e-20, 1.8717570532233488e-20, -1.043406348457425e-18
1970/01/01/01:00:09.390000,[],0,1.0617308417932211e-19, 5.151442006578382e-19, -7.220159530639648, -6.607486421330907e-20, 2.3317983976561168e-20, -1.0273772425473725e-18
1970/01/01/01:00:09.400000,[],0,-6.527970857671763e-21, 4.778996697946021e-19, -7.220159530639648, -6.066642132631353e-20, 5.5088984793938546e-21, -1.0498204103247378e-18
1970/01/01/01:00:09.410000,[],0,-1.1697435045690273e-19, 4.413522453925951e-19, -7.220159530639648, -5.536007708383146e-20, -1.194455670771891e-20, -1.0717098840795755e-18
1970/01/01/01:00:09.420000,[],0,3.334439972054589e-21, 4.1690680939436278e-19, -7.220159530639648, -5.3852239918246665e-20, 6.124197666614348e-21, -1.032759499998102e-18
1970/01/01/01:00:09.430000,[],0,1.2123672168050898e-19, 3.929086196135802e-19, -7.220159530639648, -5.236917293459871e-20, 2.3830963587727623e-20, -9.944849224770842e-19
1970/01/01/01:00:09.440000,[],0,2.367688439653343e-19, 3.693510844547411e-19, -7.220159530639648, -5.0910530397240943e-20, 4.1181212645346625e-20, -9.568764321443248e-19
1970/01/01/01:00:09.450000,[],0,3.4996662378744374e-19, 3.4622776741870405e-19, -7.220159530639648, -4.947596980170098e-20, 5.818033645763394e-20, -9.199243096276263e-19
1970/01/01/01:00:09.460000,[],0,3.4650047852690513e-19, 4.695534691127303e-19, -7.220159530639648, -7.151463656600506e-20, 5.720269944647576e-20, -9.138438083423255e-19
1970/01/01/01:00:09.470000,[],0,3.430689973039113e-19, 5.903656791179377e-19, -7.220159530639648, -9.310537533508888e-20, 5.623889832353223e-20, -9.077936025469596e-19
1970/01/01/01:00:09.480000,[],0,3.3967184407633846e-19, 7.087026545376567e-19, -7.220159530639648, -1.1425499419313465e-19, 5.528874568069583e-20, -9.017734854463752e-19
1970/01/01/01:00:09.490000,[],0,3.3630865695266856e-19, 8.246019803909702e-19, -7.220159530639648, -1.349701816708767e-19, 5.43520670345561e-20, -8.957836638357256e-19
1970/01/01/01:00:09.500000,[],0,3.180991546467145e-19, 7.998336596105066e-19, -7.220159530639648, -1.3281837470489656e-19, 5.168102975078848e-20, -8.928200824961012e-19
1970/01/01/01:00:09.510000,[],0,3.0022204970003604e-19, 7.754806868951212e-19, -7.220159530639648, -1.306963203915742e-19, 4.905824682353597e-20, -8.898264124616952e-19
1970/01/01/01:00:09.520000,[],0,2.826724565771403e-19, 7.515372202817378e-19, -7.220159530639648, -1.2860364391469453e-19, 4.648301062563392e-20, -8.868036877082733e-19
1970/01/01/01:00:09.530000,[],0,2.654455672907168e-19, 7.279974695060686e-19, -7.220159530639648, -1.2653994460864836e-19, 4.3954636148137554e-20, -8.83752735416448e-19
1970/01/01/01:00:09.540000,[],0,2.485367031004258e-19, 7.048557477014023e-19, -7.220159530639648, -1.2450487350661478e-19, 4.147242868857931e-20, -8.80674382766832e-19
1970/01/01/01:00:09.550000,[],0,2.1662817219710154e-19, 7.221326038667028e-19, -7.220159530639648, -1.286014596408895e-19, 3.654526920877038e-20, -8.818388462741535e-19
1970/01/01/01:00:09.560000,[],0,1.8533616226876778e-19, 7.3899168212387575e-19, -7.220159530639648, -1.3260324312214741e-19, 3.171299639250923e-20, -8.8289195059151e-19
1970/01/01/01:00:09.570000,[],0,1.546514580064128e-19, 7.554396516166099e-19, -7.220159530639648, -1.3651173613994582e-19, 2.6974198216640843e-20, -8.838356602728565e-19
1970/01/01/01:00:09.580000,[],0,1.2456498627269266e-19, 7.714831814885938e-19, -7.220159530639648, -1.4032841210975085e-19, 2.2327478813881532e-20, -8.846720432697242e-19
1970/01/01/01:00:09.590000,[],0,1.322103452558818e-19, 7.032221693891866e-19, -7.220159530639648, -1.303237013750132e-19, 2.4951344184513753e-20, -8.730949268140086e-19
1970/01/01/01:00:09.600000,[],0,1.3968955725822142e-19, 6.362560568399429e-19, -7.220160007476807, -1.2050604978098616e-19, 2.752023758732814e-20, -8.616620499776069e-19
1970/01/01/01:00:09.610000,[],0,1.470052330685199e-19, 5.70565663590409e-19, -7.220160007476807, -1.108727043671936e-19, 3.0035002358808594e-20, -8.503716033029292e-19
1970/01/01/01:00:09.620000,[],0,1.541598930027061e-19, 5.061320161852846e-19, -7.220160007476807, -1.0142093156020497e-19, 3.249646567956766e-20, -8.392219841275387e-19
1970/01/01/01:00:09.630000,[],0,1.6115604445201182e-19, 4.42936451361999e-19, -7.220160007476807, -9.214806241007507e-20, 3.4905451499043624e-20, -8.282114346926336e-19
1970/01/01/01:00:09.640000,[],0,1.9340180655131629e-19, 3.4584480864448614e-19, -7.220160007476807, -7.805876612229324e-20, 3.9389730077838566e-20, -8.136920367980669e-19
1970/01/01/01:00:09.650000,[],0,2.9228111581952697e-19, 4.714015456975387e-19, -7.220160007476807, -1.0230229896522875e-19, 5.373929422171623e-20, -7.823092179481113e-19
1970/01/01/01:00:09.660000,[],0,3.891536073735016e-19, 5.94400045760512e-19, -7.220160007476807, -1.260507318998086e-19, 6.779649202432188e-20, -7.51475853820044e-19
1970/01/01/01:00:09.670000,[],0,4.840497059501456e-19, 7.148790570752253e-19, -7.220160007476807, -1.4931159356207673e-19, 8.156575988792519e-20, -7.211839828004693e-19
1970/01/01/01:00:09.680000,[],0,5.769995260936347e-19, 8.328770435401624e-19, -7.220160007476807, -1.7209230272815197e-19, 9.505149220953033e-20, -6.914259017699327e-19
1970/01/01/01:00:09.690000,[],0,2.8903463871040948e-19, 8.61460217908144e-19, -7.220160007476807, -1.7659865345837015e-19, 5.02148359591669e-20, -7.616963423723844e-19
1970/01/01/01:00:09.700000,[],0,6.800133877937666e-21, 8.893855251952045e-19, -7.220160007476807, -1.8099721221501502e-19, 6.269892526039136e-21, -8.304852507989653e-19
1970/01/01/01:00:09.710000,[],0,-2.697903593075457e-19, 9.166633568577891e-19, -7.220160007476807, -1.8528969798279703e-19, -3.6796780582600515e-20, -8.978153228177324e-19
1970/01/01/01:00:09.720000,[],0,-5.408220582205921e-19, 9.433040526535548e-19, -7.220160007476807, -1.894778038970325e-19, -7.899844329815348e-20, -9.637089440040128e-19
1970/01/01/01:00:09.730000,[],0,-8.063790364000621e-19, 9.69317538749852e-19, -7.220160007476807, -1.935632101683407e-19, -1.203481616815651e-19, -1.0281883965355573e-18
1970/01/01/01:00:09.740000,[],0,-7.197459293055459e-19, 9.183653843656935e-19, -7.220160007476807, -1.8562164297767514e-19, -1.0427327003213801e-19, -9.942715098790455e-19
1970/01/01/01:00:09.750000,[],0,-6.347735423870947e-19, 8.68340499448207e-19, -7.220160007476807, -1.7782036044901976e-19, -8.850944999181915e-20, -9.609336496513209e-19
1970/01/01/01:00:09.760000,[],0,-5.5143711192512025e-19, 8.192292355172851e-19, -7.220160007476807, -1.7015730755554022e-19, -7.30520486696629e-20, -9.281663372511046e-19
1970/01/01/01:00:09.770000,[],0,-4.697122360915522e-19, 7.71018305984339e-19, -7.220160007476807, -1.6263050681858466e-19, -5.789649072290607e-20, -8.95961611065001e-19
1970/01/01/01:00:09.780000,[],0,-3.1790892895522144e-19, 6.830910231226953e-19, -7.220160007476807, -1.4438389770733935e-19, -3.282429092725435e-20, -8.468016985743035e-19
1970/01/01/01:00:09.790000,[],0,-1.6910987718019788e-19, 5.968539804452271e-19, -7.220160007476807, -1.2648778053126924e-19, -8.250252577577015e-21, -7.985403110239916e-19
1970/01/01/01:00:09.800000,[],0,-2.70059477349961e-19, 6.817965371628381e-19, -7.220160007476807, -1.3875883689743148e-19, -2.3353160155227412e-20, -8.183407918406149e-19
1970/01/01/01:00:09.810000,[],0,-3.689630591992713e-19, 7.64972080995671e-19, -7.220160007476807, -1.507705979909525e-19, -3.8151673345393965e-20, -8.376634207571239e-19
1970/01/01/01:00:09.820000,[],0,-4.658516807751907e-19, 8.4640759871121025e-19, -7.220160007476807, -1.6252704461853018e-19, -5.265040141816967e-20, -8.565158491941848e-19
1970/01/01/01:00:09.830000,[],0,-5.607559736097778e-19, 9.26129818582999e-19, -7.220160007476807, -1.7403210588807417e-19, -6.685389386692356e-20, -8.749056251748872e-19
1970/01/01/01:00:09.840000,[],0,-5.130377852279719e-19, 1.0032528301749932e-18, -7.220160007476807, -1.82144136908411e-19, -5.821631235193146e-20, -8.541823209873844e-19
1970/01/01/01:00:09.850000,[],0,-4.662226195811324e-19, 1.0787331644680335e-18, -7.220160007476807, -1.9007571330824056e-19, -4.974565653078741e-20, -8.337881312861013e-19
1970/01/01/01:00:09.860000,[],0,-4.202971642312762e-19, 1.1525959470732264e-18, -7.220160007476807, -1.9782965267152436e-19, -4.1439444861653756e-20, -8.137184548788803e-19
1970/01/01/01:00:09.870000,[],0,-3.7524818428860234e-19, 1.2248663036016782e-18, -7.220160007476807, -2.0540872088343562e-19, -3.329520872738991e-20, -7.939687939711408e-19
1970/01/01/01:00:09.880000,[],0,-4.68318902048495e-19, 1.1082838816587607e-18, -7.220160007476807, -1.8675570759748535e-19, -4.6787451865144645e-20, -8.113523047366724e-19
1970/01/01/01:00:09.890000,[],0,-5.594813399846219e-19, 9.93922232865395e-19, -7.220160007476807, -1.6845708950522576e-19, -6.000517443710834e-20, -8.283069740533835e-19
1970/01/01/01:00:09.900000,[],0,-6.487646303641815e-19, 8.81748476792232e-19, -7.220160007476807, -1.5050758040555477e-19, -7.295253496456365e-20, -8.448397295589043e-19
1970/01/01/01:00:09.910000,[],0,-7.361973626170951e-19, 7.717300949014409e-19, -7.220160007476807, -1.3290202334434098e-19, -8.563365965705052e-20, -8.609573954932883e-19
1970/01/01/01:00:09.920000,[],0,-8.218078159805543e-19, 6.638348271491319e-19, -7.220160007476807, -1.1563527429215009e-19, -9.805259394475222e-20, -8.76666589301436e-19
1970/01/01/01:00:09.930000,[],0,-8.533871936235678e-19, 7.796226904149039e-19, -7.220160007476807, -1.3312664165474034e-19, -1.0392709494578457e-19, -8.811974711066952e-19
1970/01/01/01:00:09.940000,[],0,-8.842496641694393e-19, 8.930168480843123e-19, -7.220160007476807, -1.5025487672841982e-19, -1.0967370606929799e-19, -8.85549681899643e-19
1970/01/01/01:00:09.950000,[],0,-9.144064979540147e-19, 1.0040538512006742e-18, -7.220160007476807, -1.6702551128353496e-19, -1.1529442418098995e-19, -8.897262202099998e-19
1970/01/01/01:00:09.960000,[],0,-9.438688102167753e-19, 1.1127696821206358e-18, -7.220160007476807, -1.8344402539164394e-19, -1.2079119444776968e-19, -8.937302913626393e-19
1970/01/01/01:00:09.970000,[],0,-9.634169492477816e-19, 1.1269229491965712e-18, -7.220160007476807, -1.8781143562834736e-19, -1.2493253880800176e-19, -8.954504134464433e-19
1970/01/01/01:00:09.980000,[],0,-9.824778788979942e-19, 1.1406805137469766e-18, -7.220160007476807, -1.9207272117739964e-19, -1.2897855060263712e-19, -8.970466652335175e-19
1970/01/01/01:00:09.990000,[],0,-1.0010593539856557e-18, 1.1540487864215992e-18, -7.220160007476807, -1.962295751741171e-19, -1.3293075494593013e-19, -8.985212180729698e-19
1970/01/01/01:00:10.000000,[],0,-1.0191690259314323e-18, 1.1670343846653395e-18, -7.220160007476807, -2.002836649044219e-19, -1.3679061232864983e-19, -8.99876553506638e-19
1970/01/01/01:00:10.010000,[],0,-9.77060052680925e-19, 1.1898237275290583e-18, -7.220160007476807, -2.059521139223976e-19, -1.3014288486298793e-19, -8.83257461024682e-19
1970/01/01/01:00:10.020000,[],0,-1.1613064691161395e-18, 1.1837935808635467e-18, -7.220160007476807, -2.0782532904300929e-19, -1.6038699912688478e-19, -9.29919960149717e-19
1970/01/01/01:00:10.030000,[],0,-1.3417517838415197e-18, 1.1777658123422962e-18, -7.220160007476807, -2.0964030547861841e-19, -1.9001018509408988e-19, -9.755562383273036e-19
1970/01/01/01:00:10.040000,[],0,-1.5085308340766051e-18, 1.171821485665337e-18, -7.1732001304626465, -5.897221326013714e-19, -4.002391975996017e-19, -1.0202578024127052e-18
1970/01/01/01:00:10.050000,[],0,-1.6619002526064402e-18, 1.1659597736520566e-18, -7.0840935707092285, -1.340467379145378e-18, -7.874408913720254e-19, -1.0640388178739118e-18
1970/01/01/01:00:10.060000,[],0,-1.8021128465057366e-18, 1.160179435531536e-18, -6.957278251647949, -2.4543877728956516e-18, -1.3480370123284273e-18, -1.1069134501789135e-18
1970/01/01/01:00:10.070000,[],0,-1.7954792715833676e-18, 1.1194763591296392e-18, -6.796841621398926, -3.915349000907981e-18, -2.0570896159639822e-18, -1.1121853824154437e-18
1970/01/01/01:00:10.080000,[],0,-1.7848471055799172e-18, 1.0834225547581732e-18, -6.606546878814697, -4.670934649902706e-18, -2.8418600581259568e-18, -1.1170366933104906e-18
1970/01/01/01:00:10.090000,[],0,-1.7702972054002626e-18, 1.051928790308559e-18, -6.389855861663818, -4.735177632176637e-18, -3.70075560254488e-18, -1.1214755512726033e-18
1970/01/01/01:00:10.100000,[],0,-1.751909393973515e-18, 1.0249069710455595e-18, -6.14995002746582, -4.121898067814003e-18, -4.6322077079841985e-18, -1.1255096077224478e-18
1970/01/01/01:00:10.110000,[],0,-1.726510192879615e-18, 7.838612672712022e-19, -5.831137180328369, -2.56884909695283e-18, -5.7956306220951315e-18, -1.405075561659751e-18
1970/01/01/01:00:10.120000,[],0,-1.793284347827958e-18, 4.0273839457345996e-19, -5.500718593597412, -3.7084008710551897e-19, -7.025310289681256e-18, -1.6787056675213738e-18
1970/01/01/01:00:10.130000,[],0,-1.9433576584119225e-18, -1.0454588420511106e-19, -5.164271831512451, 9.044937929678477e-18, -1.4285457155266316e-17, -1.9475938571239597e-18
1970/01/01/01:00:10.140000,[],0,-2.1750490868316473e-18, -7.35417589793399e-19, -4.823241233825684, 2.553318780952147e-17, -2.7454736644288278e-17, -2.2118079592777382e-18
1970/01/01/01:00:10.150000,[],0,-2.486703444681414e-18, -1.4873418789030233e-18, -4.478938102722168, 4.8950811571601816e-17, -4.641365010955467e-17, -2.4714150790099026e-18
1970/01/01/01:00:10.160000,[],0,-2.5845322345716823e-18, -1.744238948153311e-18, -3.9893813133239746, 7.916307721056627e-17, -7.113511731217173e-17, -2.8818124681219617e-18
1970/01/01/01:00:10.170000,[],0,-2.9856962200961182e-18, -2.4976526276546252e-18, -3.5173373222351074, 1.1797777968334335e-16, -1.0329657450761328e-16, -3.28681498527895e-18
1970/01/01/01:00:10.180000,[],0,-3.676721042666539e-18, -3.7254763087413336e-18, -3.063188076019287, 1.6913516833082427e-16, -1.4332919786197874e-16, -3.687275867282716e-18
1970/01/01/01:00:10.190000,[],0,-4.644381738649448e-18, -5.4060136643316295e-18, -2.6272311210632324, 2.34715794299482e-16, -1.896937167518702e-16, -4.083853963491158e-18
