time,.layout.dim,fault,Fx,Fy,Fz,Wx,Wy,Wz
1970/01/01/01:00:03.650000,[],0,5.371025888974591e-19, 1.8232206345817116e-18, -7.2201385498046875, -2.9944537880363703e-19, 8.524097504828657e-20, 1.4612737471875092e-19
1970/01/01/01:00:03.650000,[],0,4.1742829507178917e-19, 1.9427306555076073e-18, -7.220139503479004, -3.170633435740391e-19, 6.512054981801577e-20, 1.1163523564499678e-19
1970/01/01/01:00:03.660000,[],0,3.001057532757899e-19, 2.059656150609581e-18, -7.22014045715332, -3.342972638956693e-19, 4.539602421490535e-20, 7.782175948975119e-20
1970/01/01/01:00:03.670000,[],0,1.8509965323706297e-19, 2.174037238147342e-18, -7.220141410827637, -3.511530592797862e-19, 2.606145126271546e-20, 4.467677451641915e-20
1970/01/01/01:00:03.680000,[],0,1.57894794414142e-19, 2.337817138276463e-18, -7.220141887664795, -3.7509505247770346e-19, 2.0753556056584857e-20, 3.557752282204589e-20
1970/01/01/01:00:03.690000,[],0,2.4727708797326653e-19, 2.2012167387146092e-18, -7.220142841339111, -3.521542838630992e-19, 3.412473194128708e-20, 5.849953770119991e-20
1970/01/01/01:00:03.700000,[],0,1.0601595217467971e-19, 2.1635907741914097e-18, -7.2201433181762695, -3.45009976611267e-19, 1.100215484415736e-20, 1.8860835952505685e-20
1970/01/01/01:00:03.710000,[],0,-3.243056588037618e-20, 2.1265008227051445e-18, -7.220143795013428, -3.3797405586907337e-19, -1.1659071152050145e-20, -1.998697934859841e-20
1970/01/01/01:00:03.720000,[],0,-1.6810490443473424e-19, 2.089940266810913e-18, -7.220144748687744, -3.310450223716581e-19, -3.386590518891468e-20, -5.805583931309617e-20
1970/01/01/01:00:03.730000,[],0,-3.010489459692535e-19, 2.053901661883203e-18, -7.220145225524902, -3.242215061011316e-19, -5.562521431954885e-20, -9.535751672443228e-20
1970/01/01/01:00:03.740000,[],0,-4.3130401720281893e-19, 2.0183785972722662e-18, -7.2201457023620605, -3.1750200779263364e-19, -7.694377835536004e-20, -1.3190362926968655e-19
