time,.layout.dim,fault,Fx,Fy,Fz,Wx,Wy,Wz
1970/01/01/01:00:09.120000,[],0,-2.167523811208946e-18, -2.2953393458703337e-19, -7.220156669616699, 6.96813587593432e-20, -3.366768298734371e-19, -5.771602576264115e-19
1970/01/01/01:00:09.130000,[],0,-2.18594367588443e-18, -1.1860957020564642e-19, -7.220156669616699, 4.759038574599221e-20, -3.4024882840298834e-19, -5.832836689059884e-19
1970/01/01/01:00:09.140000,[],0,-2.2037764491201546e-18, -9.891811890234105e-21, -7.220156669616699, 2.5936469442037526e-20, -3.4371533555504494e-19, -5.892262895229342e-19
1970/01/01/01:00:09.150000,[],0,-2.2210322638786233e-18, 9.665257783330915e-20, -7.220157146453857, 4.713038042915253e-21, -3.4707816078719685e-19, -5.949911697057577e-19
1970/01/01/01:00:09.160000,[],0,-2.2377206327368806e-18, 2.010564066929113e-19, -7.220157146453857, -1.6086396245407537e-20, -3.503390360088516e-19, -6.005812045866027e-19
1970/01/01/01:00:09.170000,[],0,-2.112558279890257e-18, 1.4259654134937125e-19, -7.220157146453857, -5.765572058013562e-21, -3.2999225409642536e-19, -5.657010144079847e-19
1970/01/01/01:00:09.180000,[],0,-2.2770272214696348e-18, 1.698769579513701e-19, -7.220157146453857, -9.374403954733651e-21, -3.559143625844297e-19, -6.10138914673135e-19
1970/01/01/01:00:09.190000,[],0,-2.0491249006408623e-18, 8.091040666058444e-20, -7.220157623291016, 6.785377912850258e-21, -3.2044519396027974e-19, -5.493345739043753e-19
1970/01/01/01:00:09.200000,[],0,-1.8255758245808032e-18, -6.2849057733776166e-21, -7.220157623291016, 2.2621284643289845e-20, -2.8565335701084e-19, -4.896914396192752e-19
1970/01/01/01:00:09.210000,[],0,-1.6063150596113722e-18, -9.17356805629747e-20, -7.220157623291016, 3.813821227339437e-20, -2.515287963217891e-19, -4.3119221857315356e-19
1970/01/01/01:00:09.220000,[],0,-1.3912789128254026e-18, -1.7546827237722522e-19, -7.220157623291016, 5.334098736972634e-20, -2.180615598763823e-19, -3.7381982431648226e-19
1970/01/01/01:00:09.230000,[],0,-1.3578681573061966e-18, -6.708950463218193e-20, -7.220157623291016, 3.458206911597514e-20, -2.1313390279573613e-19, -3.653723974071493e-19
1970/01/01/01:00:09.240000,[],0,-1.3249898993063217e-18, 3.9128389471885826e-20, -7.220158100128174, 1.6194868381164222e-20, -2.0828347078009002e-19, -3.5705737109461314e-19
1970/01/01/01:00:09.250000,[],0,-1.2926367975978415e-18, 1.4321801248334e-19, -7.220158100128174, -1.8262061798284212e-21, -2.0350921692898123e-19, -3.488729617706779e-19
1970/01/01/01:00:09.260000,[],0,-1.2608014075552428e-18, 2.4521151458614505e-19, -7.220158100128174, -1.948667724967161e-20, -1.9881010726664405e-19, -3.4081733412835955e-19
1970/01/01/01:00:09.270000,[],0,-1.1619912712657568e-18, 2.6178968747717383e-19, -7.220158100128174, -2.229187127345054e-20, -1.83273988076976e-19, -3.141839795605303e-19
1970/01/01/01:00:09.280000,[],0,-1.065041153981173e-18, 2.7801010475327343e-19, -7.220158100128174, -2.503873290817314e-20, -1.680302643091484e-19, -2.880518964439082e-19
1970/01/01/01:00:09.290000,[],0,-9.699235519461237e-19, 2.938782981847903e-19, -7.220158100128174, -2.772815395793732e-20, -1.5307461911433945e-19, -2.6241364015298024e-19
1970/01/01/01:00:09.300000,[],0,-8.766112715979715e-19, 3.093997478432826e-19, -7.220158576965332, -3.0361014917731056e-20, -1.3840277441781861e-19, -2.372618953092042e-19
1970/01/01/01:00:09.310000,[],0,-7.449989779249655e-19, 3.2867527916366437e-19, -7.220158576965332, -3.3433215411541285e-20, -1.1715056577677066e-19, -2.0082953948522155e-19
1970/01/01/01:00:09.320000,[],0,-6.159443784047618e-19, 3.4753241219045917e-19, -7.220158576965332, -3.644062763010815e-20, -9.631168248570927e-20, -1.6510574140407303e-19
1970/01/01/01:00:09.330000,[],0,-4.894093193316064e-19, 3.6597766097099085e-19, -7.220158576965332, -3.93842500062804e-20, -7.587994653943442e-20, -1.3007991573885733e-19
1970/01/01/01:00:09.340000,[],0,-3.6535598304186897e-19, 3.8401741030561255e-19, -7.220158576965332, -4.2265061585861175e-20, -5.584926394327708e-20, -9.57415870225983e-20
1970/01/01/01:00:09.350000,[],0,-2.437471722573789e-19, 4.01657967446495e-19, -7.220158576965332, -4.508402848995654e-20, -3.621360209487929e-20, -6.208046073407879e-20
1970/01/01/01:00:09.360000,[],0,-2.2200354078429203e-19, 3.7577341812817937e-19, -7.220158576965332, -3.909864974392513e-20, -3.328091078125496e-20, -5.70529862179522e-20
1970/01/01/01:00:09.370000,[],0,-2.0067258196398962e-19, 3.5036896960726836e-19, -7.220158576965332, -3.322907305247688e-20, -3.0403543633443646e-20, -5.2120359591282173e-20
1970/01/01/01:00:09.380000,[],0,-1.7974815656536287e-19, 3.2543759084855525e-19, -7.22015905380249, -2.7473563275029985e-20, -2.75806831643556e-20, -4.7281172062087965e-20
1970/01/01/01:00:09.390000,[],0,-1.5922425460427372e-19, 3.0097230251562163e-19, -7.22015905380249, -2.1830414351571054e-20, -2.481152481159815e-20, -4.253404068778296e-20
