time,.layout.dim,fault,Fx,,Fy,,Fz,,Wx,,Wy,,Wz
1970/01/01/01:00:09.020000,[],0,-1.4409943287962178e-18,,-1.5209301680611984e-18,,-7.220157623291016,,2.407993848975755e-19,,-2.3515863350542325e-19,,-6.614979497499007e-08
1970/01/01/01:00:09.030000,[],0,-1.615277354753231e-18,,-1.5606656499415614e-18,,-7.220158100128174,,2.447599515198735e-19,,-2.6276932781637804e-19,,-6.56619505434719e-08
1970/01/01/01:00:09.040000,[],0,-1.5430852701902421e-18,,-1.6940809905547798e-18,,-7.220158100128174,,2.6882136891872813e-19,,-2.5074026055347877e-19,,-6.517728934340994e-08
1970/01/01/01:00:09.050000,[],0,-1.4721827602022234e-18,,-1.824658688076635e-18,,-7.220158100128174,,2.923746647769279e-19,,-2.389266996895437e-19,,-6.469581137480418e-08
1970/01/01/01:00:09.060000,[],0,-1.4025510064302392e-18,,-1.9524423762844393e-18,,-7.220158100128174,,3.1542767146089793e-19,,-2.2732551744788164e-19,,-6.42174882159452e-08
1970/01/01/01:00:09.070000,[],0,-1.3341716041056604e-18,,-2.0774750685700453e-18,,-7.220158100128174,,3.3798804039130435e-19,,-2.1593362482589256e-19,,-6.374230565597827e-08
1970/01/01/01:00:09.080000,[],0,-1.2670264586525872e-18,,-2.1997993647349996e-18,,-7.220158100128174,,3.6006342298881327e-19,,-2.0474798451976474e-19,,-6.327025658947605e-08
1970/01/01/01:00:09.090000,[],0,-1.1961467995289902e-18,,-2.1657023595001044e-18,,-7.220158576965332,,3.595801685653233e-19,,-1.9291588964022967e-19,,-6.280131970015645e-08
1970/01/01/01:00:09.100000,[],0,-1.1265650901840655e-18,,-2.1320706433597703e-18,,-7.220158576965332,,3.5907062530799065e-19,,-1.8130114939133997e-19,,-6.233548788259213e-08
1970/01/01/01:00:09.110000,[],0,-1.0582624088613009e-18,,-2.0988982192545562e-18,,-7.220158576965332,,3.585353619034864e-19,,-1.6990058429761615e-19,,-6.187273271507365e-08
1970/01/01/01:00:09.120000,[],0,-9.912199372017609e-19,,-2.0661795037153275e-18,,-7.220158576965332,,3.5797494703848173e-19,,-1.5871102780827578e-19,,-6.141304709217366e-08
1970/01/01/01:00:09.130000,[],0,-1.019081965171961e-18,,-1.925753807410722e-18,,-7.220158576965332,,3.3100593808771495e-19,,-1.6346687689075527e-19,,-6.095641680303743e-08
1970/01/01/01:00:09.140000,[],0,-1.0462849369891096e-18,,-1.7879440697933158e-18,,-7.220158576965332,,3.0454318952122477e-19,,-1.6811126338569324e-19,,-6.05028205313829e-08
1970/01/01/01:00:09.150000,[],0,-1.072839089013287e-18,,-1.6527118269646246e-18,,-7.220158576965332,,2.7857928256289234e-19,,-1.7264595797658844e-19,,-6.005224406635534e-08
1970/01/01/01:00:09.160000,[],0,-1.098754967797303e-18,,-1.5200189252188947e-18,,-7.220158576965332,,2.531067725872047e-19,,-1.7707267964815132e-19,,-5.960468030252741e-08
1970/01/01/01:00:09.170000,[],0,-9.82749090741335e-19,,-1.5505833522503056e-18,,-7.22015905380249,,2.588219185356984e-19,,-1.5788578590028342e-19,,-5.9160100818189676e-08
1970/01/01/01:00:09.180000,[],0,-8.689650208106845e-19,,-1.5803813964441862e-18,,-7.22015905380249,,2.643968573703644e-19,,-1.3906684535333384e-19,,-5.8718498507914774e-08
1970/01/01/01:00:09.190000,[],0,-7.573698258772141e-19,,-1.6094254655097247e-18,,-7.22015905380249,,2.6983386383788717e-19,,-1.2061036501104734e-19,,-5.827985560813431e-08
1970/01/01/01:00:09.200000,[],0,-6.479307289091514e-19,,-1.6377277603609562e-18,,-7.22015905380249,,2.751351351367688e-19,,-1.0251096173709379e-19,,-5.7844161460707255e-08
1970/01/01/01:00:09.210000,[],0,-5.406156249589718e-19,,-1.6653001717191863e-18,,-7.22015905380249,,2.803028426161173e-19,,-8.476329116923427e-20,,-5.741139119663785e-08
1970/01/01/01:00:09.220000,[],0,-7.545850189474777e-19,,-1.4762792687883157e-18,,-7.22015905380249,,2.501114481915736e-19,,-1.1920989653520678e-19,,-5.698154126321242e-08
1970/01/01/01:00:09.230000,[],0,-9.641995655048334e-19,,-1.2908911363126249e-18,,-7.22015905380249,,2.2049889925005807e-19,,-1.529556472777996e-19,,-5.655458679143521e-08
1970/01/01/01:00:09.240000,[],0,-1.169525439080043e-18,,-1.1090815939619916e-18,,-7.22015905380249,,1.9145656209392713e-19,,-1.8601118042270226e-19,,-5.613051712316519e-08
1970/01/01/01:00:09.250000,[],0,-1.3706277284475568e-18,,-9.307973919844827e-19,,-7.22015905380249,,1.629759710465992e-19,,-2.1838700374863363e-19,,-5.570931449483396e-08
1970/01/01/01:00:09.260000,[],0,-1.3370715959356947e-18,,-1.0037807782009551e-18,,-7.22015905380249,,1.7633125440066531e-19,,-2.137317605081559e-19,,-5.529096469558681e-08
1970/01/01/01:00:09.270000,[],0,-1.2238238492347082e-18,,-9.673153480771675e-19,,-7.22015905380249,,1.7016639361758124e-19,,-1.9570077411814843e-19,,-5.487545351456902e-08
1970/01/01/01:00:09.280000,[],0,-1.1497199434809561e-18,,-9.555142724706031e-19,,-7.22015905380249,,1.658219247181791e-19,,-1.8353703151176787e-19,,-5.446276674092587e-08
1970/01/01/01:00:09.290000,[],0,-1.0769830570870245e-18,,-9.438537141705962e-19,,-7.22015905380249,,1.6154774032144982e-19,,-1.7159820448381931e-19,,-5.40528830583753e-08
1970/01/01/01:00:09.300000,[],0,-1.005593337718212e-18,,-9.323319154183451e-19,,-7.220159530639648,,1.5734288399981014e-19,,-1.598809972365496e-19,,-5.3645795361489945e-08
1970/01/01/01:00:09.310000,[],0,-9.355307262446642e-19,,-9.209473252502012e-19,,-7.220159530639648,,1.5320637347628266e-19,,-1.4838213982159976e-19,,-5.324148588670141e-08
1970/01/01/01:00:09.320000,[],0,-8.04284821884231e-19,,-9.104853516577837e-19,,-7.220159530639648,,1.5123644284748763e-19,,-1.2616912212498026e-19,,-5.2839936870441306e-08
1970/01/01/01:00:09.330000,[],0,-6.755834284855874e-19,,-9.001415614953846e-19,,-7.220159530639648,,1.4929075895039805e-19,,-1.0438775053644565e-19,,-5.2441134101854914e-08
1970/01/01/01:00:09.340000,[],0,-5.493884957405561e-19,,-8.899146105945087e-19,,-7.220159530639648,,1.4736905036637544e-19,,-8.30315691698089e-20,,-5.204506337008752e-08
1970/01/01/01:00:09.350000,[],0,-4.2566251617823657e-19,,-8.79803258184237e-19,,-7.220159530639648,,1.4547101982738717e-19,,-6.209419968706541e-20,,-5.1651710464284406e-08
1970/01/01/01:00:09.360000,[],0,-3.8723700404482208e-19,,-8.840240506573655e-19,,-7.220159530639648,,1.4803120844672414e-19,,-5.642640982864035e-20,,-5.126105762087718e-08
1970/01/01/01:00:09.370000,[],0,-3.495412720068325e-19,,-8.880720657800468e-19,,-7.220159530639648,,1.5052537771342173e-19,,-5.086633116443191e-20,,-5.087309418172481e-08
1970/01/01/01:00:09.380000,[],0,-3.125644891681222e-19,,-8.919503020820017e-19,,-7.220159530639648,,1.529546133020339e-19,,-4.5412367494351805e-20,,-5.0487802383258895e-08
1970/01/01/01:00:09.390000,[],0,-2.7629600557830456e-19,,-8.956617580929506e-19,,-7.220159530639648,,1.5531996211302343e-19,,-4.006294200535736e-20,,-5.0105164461911045e-08
1970/01/01/01:00:09.400000,[],0,-2.407252488351754e-19,,-8.99209432342614e-19,,-7.220159530639648,,1.5762247104685307e-19,,-3.4816497271451496e-20,,-4.97251733122539e-08
1970/01/01/01:00:09.410000,[],0,-5.487886476247874e-20,,-1.1192601547970331e-18,,-7.220159530639648,,1.9195345207282715e-19,,-5.686387689716866e-21,,-4.934780761800539e-08
1970/01/01/01:00:09.420000,[],0,1.2725607622396615e-19,,-1.3347978832269396e-18,,-7.220159530639648,,2.255786153917462e-19,,2.286168885557447e-20,,-4.89730531683108e-08
1970/01/01/01:00:09.430000,[],0,3.057355962236141e-19,,-1.5458913770207517e-18,,-7.220159530639648,,2.5850867557748225e-19,,5.0836517119463054e-20,,-4.860089575231541e-08
1970/01/01/01:00:09.440000,[],0,4.806149418540957e-19,,-1.7526085683862755e-18,,-7.220159530639648,,2.907542696557248e-19,,7.824676230354152e-20,,-4.823132471187819e-08
1970/01/01/01:00:09.450000,[],0,5.590575650170533e-19,,-1.8242659840808255e-18,,-7.220159530639648,,3.0020855631629376e-19,,8.982929420732993e-20,,-4.786431873071706e-08
1970/01/01/01:00:09.460000,[],0,6.358753986618036e-19,,-1.8943079160390594e-18,,-7.220159530639648,,3.094437176627186e-19,,1.0117118763869931e-19,,-4.749987070340467e-08
1970/01/01/01:00:09.470000,[],0,7.110933099055115e-19,,-1.96275959326966e-18,,-7.220159530639648,,3.184632175138144e-19,,1.1227613259866345e-19,,-4.713795576094526e-08
1970/01/01/01:00:09.480000,[],0,7.847357522750356e-19,,-2.029645831191004e-18,,-7.220159530639648,,3.2727049383900205e-19,,1.2314774154005375e-19,,-4.677857035062516e-08
1970/01/01/01:00:09.490000,[],0,8.56826920803293e-19,,-2.0949914452214682e-18,,-7.220159530639648,,3.3586885536073178e-19,,1.3378961399100452e-19,,-4.642169315616229e-08
1970/01/01/01:00:09.500000,[],0,8.231992888672334e-19,,-2.077450666741975e-18,,-7.220159530639648,,3.311608276574155e-19,,1.289700073778731e-19,,-4.606730996670194e-08
1970/01/01/01:00:09.510000,[],0,7.901619536958069e-19,,-2.0600529905084535e-18,,-7.220159530639648,,3.265138562230633e-19,,1.2423389430782123e-19,,-4.571541012410307e-08
1970/01/01/01:00:09.520000,[],0,7.577063332901583e-19,,-2.0427971757499848e-18,,-7.220159530639648,,3.219271655758509e-19,,1.195800857087184e-19,,-4.536597586479729e-08
1970/01/01/01:00:09.530000,[],0,7.258240524465855e-19,,-2.0256821884908032e-18,,-7.220159530639648,,3.1740003193274234e-19,,1.1500739250843405e-19,,-4.5018992977929884e-08
1970/01/01/01:00:09.540000,[],0,6.791938650642283e-19,,-1.9686807588894678e-18,,-7.220159530639648,,3.068281984152201e-19,,1.0802420453029068e-19,,-4.467444725264613e-08
1970/01/01/01:00:09.550000,[],0,6.766973822767549e-19,,-1.9789648886501864e-18,,-7.220159530639648,,3.068654473921791e-19,,1.0771830926235945e-19,,-4.4332328030805e-08
1970/01/01/01:00:09.560000,[],0,7.160383507037184e-19,,-2.0942203060954157e-18,,-7.220159530639648,,3.231081209966352e-19,,1.156842201199585e-19,,-4.399261399612442e-08
1970/01/01/01:00:09.570000,[],0,7.545208090524283e-19,,-2.2069610944784837e-18,,-7.220160007476807,,3.389936335222274e-19,,1.2347923417053438e-19,,-4.3655298043177027e-08
1970/01/01/01:00:09.580000,[],0,7.92158250706627e-19,,-2.317226544878487e-18,,-7.220160007476807,,3.5452751673930214e-19,,1.3110600743933522e-19,,-4.332036240839443e-08
1970/01/01/01:00:09.590000,[],0,7.809820583540582e-19,,-2.337244108907117e-18,,-7.220160007476807,,3.5678135126396186e-19,,1.309221277741041e-19,,-4.2987792880921916e-08
1970/01/01/01:00:09.600000,[],0,7.699513463917222e-19,,-2.356627432201072e-18,,-7.220160007476807,,3.5895440643192694e-19,,1.307288260047081e-19,,-4.2657575249904767e-08
1970/01/01/01:00:09.610000,[],0,7.590642019644524e-19,,-2.3753876816986216e-18,,-7.220160007476807,,3.6104812980926937e-19,,1.3052633477569454e-19,,-4.232969530448827e-08
1970/01/01/01:00:09.620000,[],0,7.483189190122354e-19,,-2.3935349903622693e-18,,-7.220160007476807,,3.630638397150904e-19,,1.3031482210812532e-19,,-4.2004142386531385e-08
1970/01/01/01:00:09.630000,[],0,7.377136880774813e-19,,-2.4110801115399785e-18,,-7.220160007476807,,3.650029578660678e-19,,1.3009452064654772e-19,,-4.168089873246572e-08
1970/01/01/01:00:09.640000,[],0,7.526524665426124e-19,,-2.463148856353507e-18,,-7.220160007476807,,3.718596130598847e-19,,1.3199256411023307e-19,,-4.135995368415024e-08
1970/01/01/01:00:09.650000,[],0,7.672172042745047e-19,,-2.5139298877484437e-18,,-7.220160007476807,,3.7854191409021193e-19,,1.3383946454760791e-19,,-4.104128947801655e-08
1970/01/01/01:00:09.660000,[],0,7.814138983325992e-19,,-2.5634438852401022e-18,,-7.220160007476807,,3.850527560891934e-19,,1.3563603621458773e-19,,-4.0724895455923615e-08
1970/01/01/01:00:09.670000,[],0,7.952485457763369e-19,,-2.6117113215486434e-18,,-7.220160007476807,,3.91394853243214e-19,,1.3738310629178508e-19,,-4.041075740701672e-08
1970/01/01/01:00:09.680000,[],0,8.087269885687939e-19,,-2.6587522558039215e-18,,-7.220160007476807,,3.975709455880529e-19,,1.3908150195981252e-19,,-4.0098857567727464e-08
1970/01/01/01:00:09.690000,[],0,5.101547506004949e-19,,-2.5708169596300936e-18,,-7.220160007476807,,3.8332462069320525e-19,,9.264776351058806e-20,,-3.97891888326285e-08
1970/01/01/01:00:09.700000,[],0,2.175029544689676e-19,,-2.4843832030632027e-18,,-7.220160007476807,,3.693249248678691e-19,,4.713343631221629e-20,,-3.948173343815142e-08
1970/01/01/01:00:09.710000,[],0,-6.931755438618472e-20,,-2.3994298929976285e-18,,-7.220160007476807,,3.55568316745047e-19,,2.5246780141340163e-21,,-3.9176480726155205e-08
1970/01/01/01:00:09.720000,[],0,-3.5039471560383407e-19,,-2.3159355227374447e-18,,-7.220160007476807,,3.4205130665652967e-19,,-4.1192156632591614e-20,,-3.887341648578513e-08
1970/01/01/01:00:09.730000,[],0,-2.790169903539036e-19,,-2.310227976510829e-18,,-7.220160007476807,,3.406984527646992e-19,,-2.744494153336594e-20,,-3.85725229534728e-08
1970/01/01/01:00:09.740000,[],0,-2.0903890639920115e-19,,-2.3044033842275367e-18,,-7.220160007476807,,3.393385419882679e-19,,-1.3969928632394172e-20,,-3.827378947107718e-08
1970/01/01/01:00:09.750000,[],0,-1.1365350464083788e-19,,-2.2126177690974276e-18,,-7.220160007476807,,3.2364400478659886e-19,,8.4604006798632745e-22,,-3.7977205380457235e-08
1970/01/01/01:00:09.760000,[],0,-2.0164441901733712e-20,,-2.122446603727869e-18,,-7.220160007476807,,3.0823099333653345e-19,,1.5365605276795607e-20,,-3.768275647075825e-08
1970/01/01/01:00:09.770000,[],0,7.145685670774853e-20,,-2.033866520266556e-18,,-7.220160007476807,,2.93095397584403e-19,,2.959324267526553e-20,,-3.739042497841183e-08
1970/01/01/01:00:09.780000,[],0,1.6123858156750812e-19,,-1.9468547712466436e-18,,-7.220160007476807,,2.7823318502472133e-19,,4.353336857180078e-20,,-3.7100203797990616e-08
1970/01/01/01:00:09.790000,[],0,2.940885313073495e-19,,-1.9878392958519616e-18,,-7.220160007476807,,2.8882280292541347e-19,,6.579524485452347e-20,,-3.681207516592622e-08
1970/01/01/01:00:09.800000,[],0,4.2425209568565123e-19,,-2.0278051475329205e-18,,-7.220160007476807,,2.9917173711724683e-19,,8.760530927055601e-20,,-3.6526028424077595e-08
1970/01/01/01:00:09.810000,[],0,5.517699487240963e-19,,-2.0667690766969246e-18,,-7.220160007476807,,3.0928376161176617e-19,,1.0897040867817185e-19,,-3.624205291430371e-08
1970/01/01/01:00:09.820000,[],0,6.766822862305758e-19,,-2.1047467997756124e-18,,-7.220160007476807,,3.1916257287233384e-19,,1.2989730269393918e-19,,-3.59601273203225e-08
1970/01/01/01:00:09.830000,[],0,7.990286577781276e-19,,-2.1417546535860817e-18,,-7.220160007476807,,3.2881189321170633e-19,,1.5039267984859232e-19,,-3.5680248089420274e-08
1970/01/01/01:00:09.840000,[],0,8.127270272159472e-19,,-2.0092057846645126e-18,,-7.220160007476807,,3.11558327350528e-19,,1.538271337519125e-19,,-3.5402397458028645e-08
1970/01/01/01:00:09.850000,[],0,8.2607007088188695e-19,,-1.8791068179221724e-18,,-7.220160007476807,,2.946187023812077e-19,,1.571775125007849e-19,,-3.5126564768006574e-08
1970/01/01/01:00:09.860000,[],0,8.390636824378113e-19,,-1.7514219777975682e-18,,-7.220160007476807,,2.7798836541279977e-19,,1.6044516026370492e-19,,-3.485273225578567e-08
1970/01/01/01:00:09.870000,[],0,8.517135487504316e-19,,-1.6261155921267837e-18,,-7.220160007476807,,2.6166284450011766e-19,,1.636314082844709e-19,,-3.458089636865225e-08
1970/01/01/01:00:09.880000,[],0,8.640252015900943e-19,,-1.503152815926515e-18,,-7.220160007476807,,2.4563769354736885e-19,,1.6673758780688115e-19,,-3.431103579032424e-08
1970/01/01/01:00:09.890000,[],0,1.0838233237649551e-18,,-1.3888676813398105e-18,,-7.220160007476807,,2.2661499515109273e-19,,2.0025564416117168e-19,,-3.404313986266061e-08
1970/01/01/01:00:09.900000,[],0,1.299117137311735e-18,,-1.2767293906354107e-18,,-7.220160007476807,,2.0795006529444287e-19,,2.3308331489671013e-19,,-3.3777201480234e-08
1970/01/01/01:00:09.910000,[],0,1.5099750914261227e-18,,-1.1667060973597325e-18,,-7.220160007476807,,1.896376048516201e-19,,2.6523114656630656e-19,,-3.351320287947601e-08
1970/01/01/01:00:09.920000,[],0,1.716464911520771e-18,,-1.0587666788422285e-18,,-7.220160007476807,,1.716724180944018e-19,,2.967094789276179e-19,,-3.3251129849531935e-08
1970/01/01/01:00:09.930000,[],0,1.917467318829319e-18,,-9.477712415516474e-19,,-7.220160007476807,,1.5273035688315254e-19,,3.2758552040541404e-19,,-3.299097528497441e-08
1970/01/01/01:00:09.940000,[],0,2.1142579292539002e-18,,-8.389010380498681e-19,,-7.220160007476807,,1.3415182862642325e-19,,3.578112686747728e-19,,-3.2732724974948724e-08
1970/01/01/01:00:09.950000,[],0,1.7705809283503683e-18,,-1.0008912295261543e-18,,-7.220160007476807,,1.5763950579759283e-19,,3.0204487142676734e-19,,-3.247636826131384e-08
1970/01/01/01:00:09.950000,[],0,1.4336002646981828e-18,,-1.159541575881681e-18,,-7.220160007476807,,1.8064169257267914e-19,,2.4736360589546075e-19,,-3.222188738050136e-08
1970/01/01/01:00:09.970000,[],0,1.1032158494432249e-18,,-1.314903052121697e-18,,-7.220160007476807,,2.0316582065249808e-19,,1.9375123866133166e-19,,-3.1969278779797605e-08
1970/01/01/01:00:09.980000,[],0,7.793287828035062e-19,,-1.4670257026732615e-18,,-7.220160007476807,,2.252191795661978e-19,,1.4119174310001186e-19,,-3.171852114292051e-08
1970/01/01/01:00:09.990000,[],0,8.244030951524395e-19,,-1.376190001079093e-18,,-7.220160007476807,,2.0762648257856978e-19,,1.4664033009611037e-19,,-3.146960736444271e-08
1970/01/01/01:00:10.000000,[],0,8.684935278615292e-19,,-1.2870334761284072e-18,,-7.220160007476807,,1.9036486463111613e-19,,1.5196529236472341e-19,,-3.122252678622317e-08
1970/01/01/01:00:10.010000,[],0,9.116152803745311e-19,,-1.199531415800404e-18,,-7.220160007476807,,1.7342942726364686e-19,,1.571685556857146e-19,,-3.097726519740718e-08
1970/01/01/01:00:10.020000,[],0,9.594041926987103e-19,,-1.1132712637645726e-18,,-7.19320011138916,,-4.3431996941497556e-20,,2.9101994972871917e-19,,-3.0733808387140016e-08
1970/01/01/01:00:10.030000,[],0,1.0117622439314793e-18,,-1.0282367866013917e-18,,-7.142043590545654,,-3.623914711240555e-19,,-2.658911332975473e-19,,-3.049214924999433e-08
1970/01/01/01:00:10.040000,[],0,7.941492744410422e-19,,-9.905307923539276e-19,,-7.069238185882568,,-1.052230918027294e-18,,-1.0387102373248084e-18,,-3.0252273575115396e-08
1970/01/01/01:00:10.050000,[],0,5.865061060785536e-19,,-9.534333962421494e-19,,-6.977130889892578,,-2.112834971805156e-18,,-1.9805625880033326e-18,,-3.0014170704362186e-08
1970/01/01/01:00:10.060000,[],0,3.886540936810961e-19,,-9.16936223062355e-19,,-6.867881774902344,,-3.536682260093456e-18,,-3.0879733805255436e-18,,-2.9777829979593662e-08
1970/01/01/01:00:10.070000,[],0,2.0041725457334923e-19,,-8.810310010084189e-19,,-6.743478298187256,,-5.316365897494664e-18,,-4.357520878890039e-18,,-2.9543237189955107e-08
1970/01/01/01:00:10.080000,[],0,2.162206823478426e-20,,-8.457092514790624e-19,,-6.605747222900391,,-7.444590771391522e-18,,-5.7858351492812785e-18,,-2.9310381677305486e-08
1970/01/01/01:00:10.090000,[],0,-6.802260035625174e-14,,-1.3998612653168957e-13,,-6.44536018371582,,5.346765781857887e-13,,-2.6076116634889124e-13,,-2.9079268770715316e-08
1970/01/01/01:00:10.100000,[],0,-1.3916733705102852e-13,,-2.863478497285715e-13,,-6.276336669921875,,1.5731835322288501e-12,,-7.672208679997128e-13,,-2.8849870048475168e-08
1970/01/01/01:00:10.110000,[],0,-2.1336464496243823e-13,,-4.3894385738998953e-13,,-6.0999627113342285,,3.105333047995207e-12,,-1.5144200997407875e-12,,-2.8622174852444005e-08
1970/01/01/01:00:10.120000,[],0,-2.9054604317076127e-13,,-5.976342467781115e-13,,-5.917415142059326,,5.121099291155451e-12,,-2.497469462139912e-12,,-2.839617074812395e-08
1970/01/01/01:00:10.130000,[],0,-3.902147702183889e-13,,-8.029265186754175e-13,,-5.687772274017334,,7.757355521831322e-12,,-3.784121020006248e-12,,-2.8171847077373968e-08
1970/01/01/01:00:10.140000,[],0,-5.044001783090224e-13,,-1.0383351079987224e-12,,-5.451202392578125,,1.103624917148105e-11,,-5.381223244782518e-12,,-2.7949193182053023e-08
1970/01/01/01:00:10.150000,[],0,-6.286803759872339e-13,,-1.2946808338951121e-12,,-5.217795372009277,,1.494449702876821e-11,,-7.282530481433902e-12,,-2.7728196627663237e-08
1970/01/01/01:00:10.160000,[],0,-7.628410706936317e-13,,-1.5715194987345193e-12,,-4.987818241119385,,1.9469120760007286e-11,,-9.48176866882866e-12,,-2.7508846756063576e-08
1970/01/01/01:00:10.170000,[],0,-9.066711682652329e-13,,-1.8684134100999117e-12,,-4.76150369644165,,2.4597339789989014e-11,,-1.1972758721945365e-11,,-2.7291134685469842e-08
1970/01/01/01:00:10.180000,[],0,-1.0599629897758978e-12,,-2.184931922888378e-12,,-4.539050579071045,,3.031657216934214e-11,,-1.4749416965553763e-11,,-2.707504620502732e-08
1970/01/01/01:00:10.190000,[],0,-1.2490983724786076e-12,,-2.5756306809565643e-12,,-4.288808822631836,,3.674105811257711e-11,,-1.7867197305010407e-11,,-2.6860572432951813e-08
1970/01/01/01:00:10.200000,[],0,-1.4512711778852383e-12,,-2.993563079714545e-12,,-4.047173500061035,,4.38564150273546e-11,,-2.1319076712322804e-11,,-2.6647702711102284e-08
1970/01/01/01:00:10.210000,[],0,-1.6662001639522472e-12,,-3.4381427826274402e-12,,-3.8138880729675293,,5.1648112869839835e-11,,-2.5098029557413248e-11,,-2.6436424604980857e-08
1970/01/01/01:00:10.220000,[],0,-1.893608967545868e-12,,-3.908792560458618e-12,,-3.588700294494629,,6.01018471102499e-11,,-2.919713082416564e-11,,-2.6226729232803336e-08
