time,.layout.dim,fault,Fx,,Fy,,Fz,,Wx,,Wy,,Wz
1970/01/01/01:00:04.370000,[],0,-5.008023364022406e-19,,-1.08887119345306e-18,,-7.220159530639648,,1.7099886043123636e-19,,-6.898612637918945e-20,,-1.1826193462852394e-19
1970/01/01/01:00:04.380000,[],0,-4.820714518164367e-19,,-1.1685283762491869e-18,,-7.220159530639648,,1.8351420649674024e-19,,-6.662843545121458e-20,,-1.14220175059225e-19
1970/01/01/01:00:04.390000,[],0,-4.636669416810733e-19,,-1.2464754665264369e-18,,-7.220159530639648,,1.9576089980892338e-19,,-6.431123759916359e-20,,-1.1024783403789514e-19
1970/01/01/01:00:04.400000,[],0,-4.455841531052047e-19,,-1.3227389340644118e-18,,-7.220159530639648,,2.0774308919554562e-19,,-6.203395121166828e-20,,-1.0634390990051138e-19
1970/01/01/01:00:04.410000,[],0,-4.745515528677172e-19,,-1.3135238318478414e-18,,-7.220159530639648,,2.0268495729796628e-19,,-6.530394480710672e-20,,-1.1194961597655522e-19
1970/01/01/01:00:04.420000,[],0,-5.02892053123491e-19,,-1.3043616691904743e-18,,-7.220159530639648,,1.9770772107935521e-19,,-6.850200600099572e-20,,-1.1743201398019183e-19
1970/01/01/01:00:04.430000,[],0,-5.306155283410886e-19,,-1.2952522392971576e-18,,-7.220159530639648,,1.9281025609106723e-19,,-7.162925924198048e-20,,-1.2279302322893629e-19
1970/01/01/01:00:04.440000,[],0,-5.577314393987659e-19,,-1.2861954387703145e-18,,-7.220159530639648,,1.8799146373385128e-19,,-7.468680312931203e-20,,-1.280345178038639e-19
1970/01/01/01:00:04.450000,[],0,-5.842492471747792e-19,,-1.277191267609945e-18,,-7.220159530639648,,1.8325024540845633e-19,,-7.76757297998929e-20,,-1.3315839763544413e-19
1970/01/01/01:00:04.460000,[],0,-4.590683344631613e-19,,-1.2855617150235223e-18,,-7.220160007476807,,1.8487939054957658e-19,,-5.749103005108731e-20,,-9.855605613211291e-20
