time,data
1970/01/01/01:00:08.270000,0
1970/01/01/01:00:08.310000,0
1970/01/01/01:00:08.360000,0
1970/01/01/01:00:08.360000,0
1970/01/01/01:00:08.360000,0
1970/01/01/01:00:08.370000,0
1970/01/01/01:00:08.410000,0
1970/01/01/01:00:08.410000,0
1970/01/01/01:00:08.450000,0
1970/01/01/01:00:08.450000,0
1970/01/01/01:00:08.500000,0
1970/01/01/01:00:08.500000,0
1970/01/01/01:00:08.540000,0
1970/01/01/01:00:08.540000,0
1970/01/01/01:00:08.550000,0
1970/01/01/01:00:08.560000,0
1970/01/01/01:00:08.600000,0
1970/01/01/01:00:08.600000,0
1970/01/01/01:00:08.650000,0
1970/01/01/01:00:08.690000,0
1970/01/01/01:00:08.690000,0
1970/01/01/01:00:08.730000,0
1970/01/01/01:00:08.740000,0
1970/01/01/01:00:08.740000,0
1970/01/01/01:00:08.750000,0
1970/01/01/01:00:08.790000,0
1970/01/01/01:00:08.830000,0
1970/01/01/01:00:08.880000,0
1970/01/01/01:00:08.930000,0
1970/01/01/01:00:08.930000,0
1970/01/01/01:00:08.970000,0
1970/01/01/01:00:08.970000,0
1970/01/01/01:00:08.980000,0
1970/01/01/01:00:08.990000,0
1970/01/01/01:00:09.030000,0
1970/01/01/01:00:09.030000,0
1970/01/01/01:00:09.080000,0
1970/01/01/01:00:09.080000,0
1970/01/01/01:00:09.130000,0
1970/01/01/01:00:09.130000,0
1970/01/01/01:00:09.140000,0
1970/01/01/01:00:09.180000,0
1970/01/01/01:00:09.180000,0
1970/01/01/01:00:09.230000,0
1970/01/01/01:00:09.270000,0
1970/01/01/01:00:09.310000,0
1970/01/01/01:00:09.310000,0
1970/01/01/01:00:09.320000,0
1970/01/01/01:00:09.330000,0
1970/01/01/01:00:09.370000,0
1970/01/01/01:00:09.370000,0
1970/01/01/01:00:09.410000,0
1970/01/01/01:00:09.410000,0
1970/01/01/01:00:09.460000,0
1970/01/01/01:00:09.460000,0
1970/01/01/01:00:09.460000,0
1970/01/01/01:00:09.470000,0
1970/01/01/01:00:09.510000,0
1970/01/01/01:00:09.510000,0
1970/01/01/01:00:09.550000,0
1970/01/01/01:00:09.600000,0
1970/01/01/01:00:09.600000,0
1970/01/01/01:00:09.640000,0
1970/01/01/01:00:09.640000,0
1970/01/01/01:00:09.690000,0
1970/01/01/01:00:09.690000,0
1970/01/01/01:00:09.700000,0
1970/01/01/01:00:09.740000,0
1970/01/01/01:00:09.740000,0
1970/01/01/01:00:09.790000,0
1970/01/01/01:00:09.830000,0
1970/01/01/01:00:09.840000,0
1970/01/01/01:00:09.850000,0
1970/01/01/01:00:09.890000,0
1970/01/01/01:00:09.890000,0
1970/01/01/01:00:09.940000,0
1970/01/01/01:00:09.980000,0
1970/01/01/01:00:09.980000,0
1970/01/01/01:00:10.020000,0
1970/01/01/01:00:10.020000,0
1970/01/01/01:00:10.020000,0
1970/01/01/01:00:10.040000,0
1970/01/01/01:00:10.080000,0
1970/01/01/01:00:10.080000,0
