====
Fx,Fy,Fz,Mx,My,Mz,m1,m2,m3,m4
-0.0328226, 0.0301417, 0.0302239, 0.00133924, -3.22093, -0.000325395, 0, 0, 0, 0
-0.0355124, 0.0325942, 0.0300329, 0.0024624, -3.22172, -0.000367894, 0, 0, 0, 0
-0.0366804, 0.0336111, 0.0297605, 0.000313036, -3.22895, -0.000338299, 0, 0, 0, 0
-0.0394545, 0.0361263, 0.0311722, 0.0134416, -3.21753, -0.000342776, 0, 0, 0, 0
-0.0404007, 0.0371222, 0.030841, 0.0106177, -3.20722, -0.000304486, 0, 0, 0, 0
-0.0403852, 0.0370725, 0.0293376, -0.000133848, -3.21928, -0.000319058, 0, 0, 0, 0
-0.0447422, 0.0408513, 0.0299456, 0.00732726, -3.22513, -0.000405042, 0, 0, 0, 0
-0.0444478, 0.0407447, 0.0300873, 0.0227235, -3.20051, -0.000426437, 0, 0, 0, 0
-0.0466046, 0.0428257, 0.0291048, 0.00467417, -3.20916, -0.000459679, 0, 0, 0, 0
-0.0491306, 0.0449898, 0.0303376, 0.0225624, -3.19377, -0.000430389, 0, 0, 0, 0
-0.0518204, 0.0474877, 0.0300225, 0.020972, -3.18534, -0.000487171, 0, 0, 0, 0
-0.0546086, 0.0500105, 0.0286307, 0.00968439, -3.1944, -0.000508427, 0, 0, 0, 0
-0.0566294, 0.051694, 0.0275365, 0.00463645, -3.20888, -0.000522703, 0, 0, 0, 0
-0.0579985, 0.052797, 0.0267634, -0.000345338, -3.23131, -0.000562505, 0, 0, 0, 0
-0.0589871, 0.0537928, 0.0281506, 0.00618721, -3.22706, -0.000454807, 0, 0, 0, 0
-0.0629347, 0.0574599, 0.030118, 0.0164931, -3.20079, -0.000456981, 0, 0, 0, 0
-0.0611916, 0.0559291, 0.0266778, 2.98003e-05, -3.20204, -0.000551435, 0, 0, 0, 0
-0.0681001, 0.0622092, 0.0293853, 0.021675, -3.18554, -0.000616895, 0, 0, 0, 0
-0.0693736, 0.0634748, 0.0277957, 0.00828308, -3.18426, -0.000569228, 0, 0, 0, 0
-0.071057, 0.06477, 0.0267831, 0.00249113, -3.20039, -0.000591516, 0, 0, 0, 0
-0.0752159, 0.0685372, 0.0302272, 0.0339438, -3.16853, -0.0005568, 0, 0, 0, 0
-0.0764909, 0.0699385, 0.0289239, 0.0285049, -3.15256, -0.00054404, 0, 0, 1, 0
-0.0832319, 0.0765848, 0.139062, -0.328126, -3.38569, 0.0170783, 0, 0, 1, 0
