time,.layout.dim,fault,Fx,,Fy,,Fz,,Wx,,Wy,,Wz
1970/01/01/01:00:07.380000,[],0,5.1127183863070213e-20,,2.6189975419743167e-18,,-7.220159530639648,,-4.315503102302066e-19,,-4.5298058242280366e-21,,-7.765380951366024e-21
1970/01/01/01:00:07.390000,[],0,6.164879523894828e-20,,2.6238311718837703e-18,,-7.220159530639648,,-4.3207642294918447e-19,,-2.6350957206966917e-21,,-4.517306834366676e-21
1970/01/01/01:00:07.400000,[],0,7.195380484778536e-20,,2.628305805407376e-18,,-7.220160007476807,,-4.3254879477774053e-19,,-7.780163270718554e-22,,-1.3337423038300939e-21
1970/01/01/01:00:07.410000,[],0,8.204552464320594e-20,,2.632428059990034e-18,,-7.220160007476807,,-4.329684855410346e-19,,1.0419991752949789e-21,,1.786284415904759e-21
1970/01/01/01:00:07.420000,[],0,1.352027486699748e-19,,2.6648357556189427e-18,,-7.220160007476807,,-4.380459527854324e-19,,8.828495446604197e-21,,1.513456339195189e-20
1970/01/01/01:00:07.430000,[],0,1.872833066566264e-19,,2.696328796285521e-18,,-7.220160007476807,,-4.429780688865681e-19,,1.645837872063778e-20,,2.821436167470804e-20
1970/01/01/01:00:07.440000,[],0,2.383035224955616e-19,,2.726922278035948e-18,,-7.220160007476807,,-4.47767237838097e-19,,2.3934018659824366e-20,,4.1029744889195655e-20
1970/01/01/01:00:07.450000,[],0,2.88279500359331e-19,,2.7566310901212493e-18,,-7.220160007476807,,-4.524158894830684e-19,,3.12577530187467e-20,,5.358471807591965e-20
1970/01/01/01:00:07.460000,[],0,3.3722713762533213e-19,,2.7854703285876043e-18,,-7.220160007476807,,-4.56926298568167e-19,,3.843188400907057e-20,,6.588322972983526e-20
1970/01/01/01:00:07.470000,[],0,3.8991435504310895e-19,,2.662496902436949e-18,,-7.220160007476807,,-4.354015597646769e-19,,4.6250007418009654e-20,,7.928572700230226e-20
1970/01/01/01:00:07.480000,[],0,4.415088410223091e-19,,2.541716538885325e-18,,-7.220160007476807,,-4.1426383809028514e-19,,5.390714403140487e-20,,9.241224321820919e-20
1970/01/01/01:00:07.490000,[],0,4.920272942715484e-19,,2.423097805069455e-18,,-7.220160007476807,,-3.9350742082888616e-19,,6.140574631052547e-20,,1.0526699182880123e-19
1970/01/01/01:00:07.500000,[],0,5.414861808548956e-19,,2.3066090613309093e-18,,-7.220160007476807,,-3.7312680205952768e-19,,6.874823440489803e-20,,1.1785412166183823e-19
1970/01/01/01:00:07.510000,[],0,4.523536958407621e-19,,2.1591546045662878e-18,,-7.220160007476807,,-3.465468523399964e-19,,5.577585812626153e-20,,9.561575863426221e-20
1970/01/01/01:00:07.520000,[],0,3.6495860030571967e-19,,2.0144331525455414e-18,,-7.220160007476807,,-3.2046385722285046e-19,,4.3057355209844925e-20,,7.381260893116273e-20
1970/01/01/01:00:07.530000,[],0,2.7927494145804944e-19,,1.8724047938041146e-18,,-7.220160007476807,,-2.948704754801535e-19,,3.0588916101186486e-20,,5.243813911817032e-20
