time,.layout.dim,fault,Fx,,Fy,,Fz,,Wx,,Wy,,Wz
1970/01/01/01:00:07.470000,[],0,-3.3852860292160775e-19,,-5.578098276865024e-20,,-7.220156669616699,,-3.1631725897325896e-20,,-5.160023746939678e-20,,-8.845755087072998e-20
1970/01/01/01:00:07.480000,[],0,-2.511703686226122e-19,,-1.3844060500614584e-19,,-7.220156669616699,,-1.5988331721967388e-20,,-3.838445360199375e-20,,-6.580192046056072e-20
1970/01/01/01:00:07.490000,[],0,-1.6553418218728428e-19,,-2.1943318042836007e-19,,-7.220156669616699,,-6.562063078345361e-22,,-2.542915084818823e-20,,-4.359282864067657e-20
1970/01/01/01:00:07.500000,[],0,-8.159418129678463e-20,,-2.9878397035571846e-19,,-7.220157146453857,,1.4369342161570778e-20,,-1.2730409793593397e-20,,-2.1823559415361948e-20
1970/01/01/01:00:07.510000,[],0,6.751866798673882e-22,,-3.7651785483008295e-19,,-7.220157146453857,,2.9092943807512997e-20,,-2.8437016945765526e-22,,-4.87491704645381e-22
1970/01/01/01:00:07.520000,[],0,2.0204695547644354e-19,,-4.375247773007357e-19,,-7.220157146453857,,4.5629738280868523e-20,,3.2412859045388716e-20,,5.556490122066637e-20
1970/01/01/01:00:07.530000,[],0,3.9937109739612143e-19,,-4.972677936448015e-19,,-7.220157146453857,,6.183123380045597e-20,,6.445289874141183e-20,,1.1049068909586189e-19
1970/01/01/01:00:07.540000,[],0,5.92708823299359e-19,,-5.557662133597048e-19,,-7.220157623291016,,7.770251623457284e-20,,9.584569545750635e-20,,1.64306904652197e-19
1970/01/01/01:00:07.550000,[],0,7.821204656720843e-19,,-6.130390615995342e-19,,-7.220157623291016,,9.324860036568273e-20,,1.2660105257640072e-19,,2.1703037584525838e-19
1970/01/01/01:00:07.560000,[],0,8.466442240651887e-19,,-7.980619938347829e-19,,-7.220157623291016,,1.2256180039833357e-19,,1.3711370390603422e-19,,2.3505208230276876e-19
1970/01/01/01:00:07.570000,[],0,9.097927946899237e-19,,-9.793047106706642e-19,,-7.220157623291016,,1.5127647063431695e-19,,1.4740239608481899e-19,,2.526898218596897e-19
1970/01/01/01:00:07.580000,[],0,9.165000920843864e-19,,-9.100283343693481e-19,,-7.220157623291016,,1.40953954523297e-19,,1.4869968670394063e-19,,2.549137486353268e-19
1970/01/01/01:00:07.590000,[],0,9.229815691716223e-19,,-8.420464440278893e-19,,-7.220158100128174,,1.3082380960348393e-19,,1.4995614820501453e-19,,2.5706770110102073e-19
1970/01/01/01:00:07.600000,[],0,9.292411550595407e-19,,-7.753400661909872e-19,,-7.220158100128174,,1.2088316659212792e-19,,1.5117249144637962e-19,,2.591528424795079e-19
1970/01/01/01:00:07.610000,[],0,9.35282675458475e-19,,-7.098902274033414e-19,,-7.220158100128174,,1.1112925960405575e-19,,1.5234938851228358e-19,,2.6117038769231304e-19
1970/01/01/01:00:07.620000,[],0,8.816949168475693e-19,,-9.214617281936326e-19,,-7.220158100128174,,1.4611925800899024e-19,,1.4418705457094587e-19,,2.47177800450366e-19
