time,data
1970/01/01/01:00:09.560000,0
1970/01/01/01:00:09.560000,0
1970/01/01/01:00:09.600000,0
1970/01/01/01:00:09.650000,0
1970/01/01/01:00:09.690000,0
1970/01/01/01:00:09.690000,0
1970/01/01/01:00:09.740000,0
1970/01/01/01:00:09.740000,0
1970/01/01/01:00:09.740000,0
1970/01/01/01:00:09.750000,0
1970/01/01/01:00:09.790000,0
1970/01/01/01:00:09.790000,0
1970/01/01/01:00:09.830000,0
1970/01/01/01:00:09.870000,0
1970/01/01/01:00:09.870000,0
1970/01/01/01:00:09.880000,0
1970/01/01/01:00:09.890000,0
1970/01/01/01:00:09.930000,0
1970/01/01/01:00:09.930000,0
1970/01/01/01:00:09.970000,0
1970/01/01/01:00:10.020000,0
1970/01/01/01:00:10.060000,0
1970/01/01/01:00:10.100000,0
1970/01/01/01:00:10.110000,0
1970/01/01/01:00:10.120000,0
1970/01/01/01:00:10.150000,0
1970/01/01/01:00:10.200000,0
1970/01/01/01:00:10.240000,0
1970/01/01/01:00:10.240000,0
1970/01/01/01:00:10.250000,0
1970/01/01/01:00:10.260000,0
1970/01/01/01:00:10.300000,0
1970/01/01/01:00:10.350000,0
1970/01/01/01:00:10.390000,0
1970/01/01/01:00:10.400000,0
1970/01/01/01:00:10.410000,0
1970/01/01/01:00:10.450000,0
1970/01/01/01:00:10.450000,0
1970/01/01/01:00:10.490000,0
1970/01/01/01:00:10.540000,0
1970/01/01/01:00:10.540000,0
1970/01/01/01:00:10.590000,0
1970/01/01/01:00:10.590000,0
1970/01/01/01:00:10.590000,0
1970/01/01/01:00:10.610000,0
1970/01/01/01:00:10.650000,0
1970/01/01/01:00:10.690000,0
1970/01/01/01:00:10.700000,0
1970/01/01/01:00:10.710000,0
1970/01/01/01:00:10.750000,0
1970/01/01/01:00:10.750000,0
1970/01/01/01:00:10.800000,0
1970/01/01/01:00:10.840000,0
1970/01/01/01:00:10.840000,0
1970/01/01/01:00:10.880000,0
1970/01/01/01:00:10.930000,0
1970/01/01/01:00:10.930000,0
1970/01/01/01:00:10.970000,0
1970/01/01/01:00:10.970000,0
1970/01/01/01:00:10.980000,0
1970/01/01/01:00:10.990000,0
1970/01/01/01:00:11.030000,0
1970/01/01/01:00:11.070000,0
1970/01/01/01:00:11.120000,0
1970/01/01/01:00:11.170000,0
1970/01/01/01:00:11.170000,0
1970/01/01/01:00:11.210000,0
1970/01/01/01:00:11.210000,0
1970/01/01/01:00:11.260000,0
1970/01/01/01:00:11.310000,0
1970/01/01/01:00:11.310000,0
1970/01/01/01:00:11.320000,0
1970/01/01/01:00:11.360000,0
1970/01/01/01:00:11.360000,0
1970/01/01/01:00:11.410000,0
1970/01/01/01:00:11.450000,0
1970/01/01/01:00:11.500000,0
1970/01/01/01:00:11.500000,0
1970/01/01/01:00:11.500000,0
1970/01/01/01:00:11.510000,0
1970/01/01/01:00:11.550000,0
1970/01/01/01:00:11.590000,0
1970/01/01/01:00:11.630000,0
