time,.layout.dim,fault,Fx,,Fy,,Fz,,Wx,,Wy,,Wz
1970/01/01/01:00:08.690000,[],0,-9.818169615885643e-19,,2.3254251972185945e-19,,-7.220160007476807,,1.1679513983848855e-20,,-1.6192951002353718e-19,,-2.77593438369094e-19
1970/01/01/01:00:08.700000,[],0,-8.8875066407507e-19,,2.31238727980111e-19,,-7.220160007476807,,1.1089556492513818e-20,,-1.465363638328701e-19,,-2.5120518775652186e-19
1970/01/01/01:00:08.710000,[],0,-7.974569112167003e-19,,2.2993785721990067e-19,,-7.220160007476807,,1.0510290149037316e-20,,-1.3143642731995894e-19,,-2.253195786130464e-19
1970/01/01/01:00:08.720000,[],0,-7.079092849326418e-19,,2.286400366881991e-19,,-7.220160007476807,,9.941557433673793e-21,,-1.166253448618907e-19,,-1.9992916631315465e-19
1970/01/01/01:00:08.730000,[],0,-6.005168912939767e-19,,1.5398546129103397e-19,,-7.220160007476807,,2.2007398690914724e-20,,-1.0025959582957466e-19,,-1.7187359100431412e-19
1970/01/01/01:00:08.740000,[],0,-4.952123015213956e-19,,8.080857943470946e-20,,-7.220160007476807,,3.382972249946402e-20,,-8.421113518565805e-20,,-1.4436195157171255e-19
1970/01/01/01:00:08.750000,[],0,-3.919642636973802e-19,,9.087148523359706e-21,,-7.220160007476807,,4.541221886033549e-20,,-6.847522602866432e-20,,-1.1738609253149807e-19
1970/01/01/01:00:08.760000,[],0,-2.907419911935072e-19,,-6.120076061497718e-20,,-7.220160007476807,,5.675852284458039e-20,,-5.304718315590516e-20,,-9.09380264208807e-20
1970/01/01/01:00:08.770000,[],0,-5.351909745018491e-19,,-3.982688533805004e-20,,-7.220160007476807,,5.2620787706005416e-20,,-9.055005932654772e-20,,-1.5522867497760996e-19
1970/01/01/01:00:08.780000,[],0,-7.746973985538218e-19,,-1.8876507147704443e-20,,-7.220160007476807,,4.856054581989474e-20,,-1.2729381633941388e-19,,-2.1821797456033724e-19
1970/01/01/01:00:08.790000,[],0,-1.0093362265924379e-18,,1.6567531018577834e-21,,-7.220160007476807,,4.457665011938329e-20,,-1.6328997656194256e-19,,-2.7992567410618725e-19
1970/01/01/01:00:08.800000,[],0,-1.2391813878849443e-18,,2.1779182467968185e-20,,-7.220160007476807,,4.066797615582588e-20,,-1.9854989434051077e-19,,-3.403712511336462e-19
1970/01/01/01:00:08.810000,[],0,-1.464305726024034e-18,,4.1496985613014476e-20,,-7.220160007476807,,3.683340917410013e-20,,-2.3308473661338796e-19,,-3.9957383419437935e-19
1970/01/01/01:00:08.820000,[],0,-1.5588670490971414e-18,,-7.233694456776227e-21,,-7.220160007476807,,4.322371544819612e-20,,-2.481156681686363e-19,,-4.253411565102597e-19
1970/01/01/01:00:08.830000,[],0,-1.4798035751856744e-18,,-9.201968785641596e-20,,-7.220160007476807,,5.773476398845489e-20,,-2.352542245649614e-19,,-4.032929674753885e-19
1970/01/01/01:00:08.840000,[],0,-1.4021733984806088e-18,,-1.7510075861600733e-19,,-7.220160007476807,,7.194982404108745e-20,,-2.2262651118312103e-19,,-3.8164541820032846e-19
1970/01/01/01:00:08.850000,[],0,-1.3259555292739008e-18,,-2.5650268504385873e-19,,-7.220160007476807,,8.587338693832604e-20,,-2.1022905127960303e-19,,-3.603926667220035e-19
1970/01/01/01:00:08.860000,[],0,-1.25112949484539e-18,,-3.3625093525554885e-19,,-7.220160007476807,,9.950988585126605e-20,,-1.980585361319572e-19,,-3.395289227761258e-19
1970/01/01/01:00:08.870000,[],0,-1.098128895471177e-18,,-5.213406106264729e-19,,-7.220160007476807,,1.2730776208755364e-19,,-1.7344049080433976e-19,,-2.9732655566458245e-19
1970/01/01/01:00:08.880000,[],0,-9.480784357516343e-19,,-7.026762818836899e-19,,-7.220160007476807,,1.5453695811505956e-19,,-1.492974539434809e-19,,-2.559384961673093e-19
1970/01/01/01:00:08.890000,[],0,-8.009342751142967e-19,,-8.803150761882543e-19,,-7.220160007476807,,1.8120611409377587e-19,,-1.256223557400827e-19,,-2.1535260799375648e-19
1970/01/01/01:00:08.900000,[],0,-6.566528314806403e-19,,-1.0543129316290899e-18,,-7.220160007476807,,2.0732376032376952e-19,,-1.0240819100833261e-19,,-1.7555689702504204e-19
