time,.layout.dim,fault,Fx,,Fy,,Fz,,Wx,,Wy,,Wz
1970/01/01/01:00:10.950000,[],0,-1.1601391375348769e-10 ,,-2.472813620535419e-10,,-0.7049117684364319,,3.799428771600333e-09,,-1.7569039556519783e-09,,-4.112485363100965e-13
1970/01/01/01:00:10.960000,[],0,-1.1912026920413155e-10 ,,-2.541321597604451e-10,,-0.7479633092880249,,3.913165791402662e-09,,-1.8075633212433218e-09,,-4.0658868958286243e-13
1970/01/01/01:00:10.970000,[],0,-1.2245474079186636e-10 ,,-2.615247463033654e-10,,-0.7991049885749817,,4.028837707892308e-09,,-1.8589855210748851e-09,,-4.010338881723502e-13
1970/01/01/01:00:10.980000,[],0,-1.258309845209027e-10 ,,-2.6903118621746103e-10,,-0.848832368850708,,4.146708754149131e-09,,-1.911251379382861e-09,,-3.9523118393509915e-13
1970/01/01/01:00:10.990000,[],0,-1.2924850079087946e-10 ,,-2.766513684804295e-10,,-0.8971579074859619,,4.266722530843481e-09,,-1.9643389137513623e-09,,-3.8913756114991593e-13
1970/01/01/01:00:11.000000,[],0,-1.3264370157806127e-10 ,,-2.84235440739522e-10,,-0.9412806034088135,,4.3888253031809654e-09,,-2.0182262527868033e-09,,-3.8312690693598217e-13
1970/01/01/01:00:11.010000,[],0,-1.3601668402696276e-10 ,,-2.91783375239163e-10,,-0.98151034116745,,4.512962448188773e-09,,-2.0728923022517165e-09,,-3.771981641961797e-13
1970/01/01/01:00:11.020000,[],0,-1.3955794853082182e-10 ,,-2.9975008586369256e-10,,-1.0264536142349243,,4.63941240980148e-09,,-2.1284054518844187e-09,,-3.703386067862441e-13
1970/01/01/01:00:11.030000,[],0,-1.4307442730565612e-10 ,,-3.076765786591551e-10,,-1.0671099424362183,,4.768115680064966e-09,,-2.184744163358232e-09,,-3.6357920255199183e-13
1970/01/01/01:00:11.040000,[],0,-1.4656634239607058e-10 ,,-3.1556310342573113e-10,,-1.1037834882736206,,4.89907714396054e-09,,-2.2419037737364533e-09,,-3.5691865045081594e-13
1970/01/01/01:00:11.050000,[],0,-1.500338464577311e-10 ,,-3.2340966016342065e-10,,-1.136780858039856,,5.0322386258017104e-09,,-2.299862300603195e-09,,-3.5035562233505513e-13
1970/01/01/01:00:11.060000,[],0,-1.5347707826851575e-10 ,,-3.312162766277993e-10,,-1.1663870811462402,,5.167542393991198e-09,,-2.358597761542569e-09,,-3.438888442671567e-13
1970/01/01/01:00:11.070000,[],0,-1.5721761392750722e-10 ,,-3.397724879228292e-10,,-1.2065292596817017,,5.304932049199351e-09,,-2.4180879520940834e-09,,-3.3581449253305973e-13
1970/01/01/01:00:11.080000,[],0,-1.6092883969864857e-10 ,,-3.482806820720441e-10,,-1.242291808128357,,5.444624751049787e-09,,-2.478377281178723e-09,,-3.278680495502617e-13
1970/01/01/01:00:11.090000,[],0,-1.6461099150433256e-10 ,,-3.567409700977464e-10,,-1.274023175239563,,5.586561435677595e-09,,-2.5394437663806002e-09,,-3.200477805952867e-13
1970/01/01/01:00:11.100000,[],0,-1.682642775113763e-10 ,,-3.651534075110874e-10,,-1.3020470142364502,,5.730682151039446e-09,,-2.6012656473284324e-09,,-3.123519238396044e-13
1970/01/01/01:00:11.110000,[],0,-1.7214865644099575e-10 ,,-3.7417727249966504e-10,,-1.337215542793274,,5.8769291655380584e-09,,-2.663820941606332e-09,,-3.032864486895298e-13
1970/01/01/01:00:11.120000,[],0,-1.7606513469381468e-10 ,,-3.8331557372650593e-10,,-1.3706353902816772,,6.025504983853125e-09,,-2.7271489511093705e-09,,-2.9397746173151496e-13
1970/01/01/01:00:11.130000,[],0,-1.8001268531353531e-10 ,,-3.92567811591249e-10,,-1.4023725986480713,,6.176347877584476e-09,,-2.7912279154662656e-09,,-2.8440951308460194e-13
1970/01/01/01:00:11.140000,[],0,-1.8392525003019244e-10 ,,-4.0176201254737975e-10,,-1.4299675226211548,,6.329397450599572e-09,,-2.8560365183949443e-09,,-2.750045200242135e-13
1970/01/01/01:00:11.150000,[],0,-1.8780314803290565e-10 ,,-4.1089839863950317e-10,,-1.453765630722046,,6.484594639033503e-09,,-2.9215538877025438e-09,,-2.657601515156788e-13
1970/01/01/01:00:11.160000,[],0,-1.9184197286303828e-10 ,,-4.204972203769586e-10,,-1.4815301895141602,,6.642160599312774e-09,,-2.9878102214553337e-09,,-2.5541461307065916e-13
1970/01/01/01:00:11.170000,[],0,-1.958431611326361e-10 ,,-4.300335920692788e-10,,-1.5052270889282227,,6.802031382591167e-09,,-3.054785091549661e-09,,-2.4525043454404205e-13
1970/01/01/01:00:11.180000,[],0,-1.9980705978639435e-10 ,,-4.3950779127222006e-10,,-1.525203824043274,,6.964144816379303e-09,,-3.122457403748058e-09,,-2.352650680607221e-13
1970/01/01/01:00:11.180000,[],0,-2.03734029646796e-10 ,,-4.4892012329711406e-10,,-1.5417824983596802,,7.128440504544642e-09,,-3.1908060638130564e-09,,-2.2545588443043107e-13
