time,data
1970/01/01/01:00:11.160000,0
1970/01/01/01:00:11.160000,0
1970/01/01/01:00:11.160000,0
1970/01/01/01:00:11.200000,0
1970/01/01/01:00:11.200000,0
1970/01/01/01:00:11.210000,0
1970/01/01/01:00:11.220000,0
1970/01/01/01:00:11.260000,0
1970/01/01/01:00:11.260000,0
1970/01/01/01:00:11.310000,0
1970/01/01/01:00:11.350000,0
1970/01/01/01:00:11.360000,0
1970/01/01/01:00:11.400000,0
1970/01/01/01:00:11.400000,0
1970/01/01/01:00:11.440000,0
1970/01/01/01:00:11.440000,0
1970/01/01/01:00:11.450000,0
1970/01/01/01:00:11.460000,0
1970/01/01/01:00:11.500000,0
1970/01/01/01:00:11.540000,0
1970/01/01/01:00:11.540000,0
1970/01/01/01:00:11.580000,0
1970/01/01/01:00:11.580000,0
1970/01/01/01:00:11.580000,0
1970/01/01/01:00:11.590000,0
1970/01/01/01:00:11.630000,0
1970/01/01/01:00:11.670000,0
1970/01/01/01:00:11.710000,0
1970/01/01/01:00:11.770000,0
1970/01/01/01:00:11.810000,0
1970/01/01/01:00:11.860000,0
1970/01/01/01:00:11.860000,0
1970/01/01/01:00:11.900000,0
1970/01/01/01:00:11.910000,0
1970/01/01/01:00:11.920000,0
1970/01/01/01:00:11.960000,0
1970/01/01/01:00:11.960000,0
1970/01/01/01:00:12.000000,0
1970/01/01/01:00:12.000000,0
1970/01/01/01:00:12.050000,0
1970/01/01/01:00:12.050000,0
1970/01/01/01:00:12.090000,0
1970/01/01/01:00:12.090000,0
1970/01/01/01:00:12.100000,0
1970/01/01/01:00:12.110000,0
1970/01/01/01:00:12.150000,0
1970/01/01/01:00:12.150000,0
1970/01/01/01:00:12.200000,0
1970/01/01/01:00:12.240000,0
1970/01/01/01:00:12.240000,0
1970/01/01/01:00:12.280000,0
1970/01/01/01:00:12.280000,0
1970/01/01/01:00:12.290000,0
1970/01/01/01:00:12.300000,0
1970/01/01/01:00:12.340000,0
1970/01/01/01:00:12.340000,0
1970/01/01/01:00:12.380000,0
1970/01/01/01:00:12.430000,0
1970/01/01/01:00:12.470000,0
1970/01/01/01:00:12.510000,0
1970/01/01/01:00:12.510000,0
1970/01/01/01:00:12.560000,0
1970/01/01/01:00:12.600000,0
1970/01/01/01:00:12.610000,0
1970/01/01/01:00:12.620000,0
1970/01/01/01:00:12.660000,0
1970/01/01/01:00:12.660000,0
1970/01/01/01:00:12.700000,0
1970/01/01/01:00:12.750000,0
1970/01/01/01:00:12.790000,0
1970/01/01/01:00:12.790000,0
1970/01/01/01:00:12.800000,0
1970/01/01/01:00:12.810000,0
1970/01/01/01:00:12.850000,0
1970/01/01/01:00:12.890000,0
1970/01/01/01:00:12.890000,0
1970/01/01/01:00:12.940000,0
1970/01/01/01:00:12.950000,0
1970/01/01/01:00:13.000000,0
1970/01/01/01:00:13.040000,0
1970/01/01/01:00:13.040000,0
1970/01/01/01:00:13.080000,0
1970/01/01/01:00:13.130000,0
1970/01/01/01:00:13.180000,0
1970/01/01/01:00:13.180000,0
1970/01/01/01:00:13.220000,0
1970/01/01/01:00:13.220000,0
1970/01/01/01:00:13.230000,0
1970/01/01/01:00:13.240000,0
1970/01/01/01:00:13.280000,0
1970/01/01/01:00:13.280000,0
1970/01/01/01:00:13.320000,0
1970/01/01/01:00:13.320000,0
1970/01/01/01:00:13.370000,0
1970/01/01/01:00:13.370000,0
1970/01/01/01:00:13.410000,0
1970/01/01/01:00:13.410000,0
1970/01/01/01:00:13.420000,0
1970/01/01/01:00:13.430000,0
1970/01/01/01:00:13.470000,0
1970/01/01/01:00:13.470000,0
1970/01/01/01:00:13.520000,0
1970/01/01/01:00:13.560000,0
1970/01/01/01:00:13.560000,0
1970/01/01/01:00:13.600000,0
1970/01/01/01:00:13.600000,0
1970/01/01/01:00:13.610000,0
1970/01/01/01:00:13.620000,0
