time,.layout.dim,.layout.data_offset,.data,,,,,
1970/01/01/01:00:07.450000,[],0,5.754877501266175e-19, 1.7504864365247707e-18, -7.220152378082275, -2.913480819379613e-19, 8.096454175426692e-20, 1.38796357293029e-19
1970/01/01/01:00:07.460000,[],0,6.540432317444003e-19, 1.7784143287512455e-18, -7.220152854919434, -2.957944620737694e-19, 9.304414458271435e-20, 1.5950424231692585e-19
1970/01/01/01:00:07.470000,[],0,7.357144442357289e-19, 1.654648566971341e-18, -7.220152854919434, -2.742231168126408e-19, 1.0566416130744886e-19, 1.8113856962688209e-19
1970/01/01/01:00:07.480000,[],0,8.156786661354778e-19, 1.5331926036544142e-18, -7.220153331756592, -2.530557975819561e-19, 1.1802121214557394e-19, 2.0232208350299692e-19
1970/01/01/01:00:07.490000,[],0,8.939621087293072e-19, 1.4140125243953506e-18, -7.220153331756592, -2.322865073222743e-19, 1.3011932314022724e-19, 2.230617115829005e-19
1970/01/01/01:00:07.500000,[],0,9.70590362917418e-19, 1.2970746215841884e-18, -7.22015380859375, -2.1190939114582208e-19, 1.4196246863575814e-19, 2.4336423933255514e-19
1970/01/01/01:00:07.510000,[],0,9.080410329476895e-19, 1.149280813973267e-18, -7.22015380859375, -1.853490094176565e-19, 1.333934074022887e-19, 2.2867441638240835e-19
1970/01/01/01:00:07.520000,[],0,8.466518237870665e-19, 1.0043278547785824e-18, -7.220154285430908, -1.593012987235148e-19, 1.2498238936460516e-19, 2.1425552093226682e-19
1970/01/01/01:00:07.530000,[],0,7.864057782329919e-19, 8.62173661186471e-19, -7.220154285430908, -1.3375862056742793e-19, 1.1672708807723473e-19, 2.0010357217543263e-19
1970/01/01/01:00:07.540000,[],0,7.272859907816964e-19, 7.227762537808456e-19, -7.220154762268066, -1.0871341400160928e-19, 1.086252158687958e-19, 1.862146668533903e-19
1970/01/01/01:00:07.550000,[],0,6.692759178209292e-19, 5.860945320250201e-19, -7.220154762268066, -8.415824086289441e-20, 1.0067453030434657e-19, 1.7258491463232144e-19
1970/01/01/01:00:07.560000,[],0,4.30459233152855e-19, 5.145949010323147e-19, -7.220155239105225, -7.341672545987368e-20, 6.30083053497704e-20, 1.080142331265003e-19
1970/01/01/01:00:07.570000,[],0,1.963758439708712e-19, 4.444738182292171e-19, -7.220155239105225, -6.288270314363305e-20, 2.60891004209249e-20, 4.472417261175329e-20
1970/01/01/01:00:07.580000,[],0,-3.304550681114973e-20, 3.757106557992019e-19, -7.220155715942383, -5.255307198687544e-20, -1.0094328968641815e-20, -1.7304563484646787e-20
1970/01/01/01:00:07.590000,[],0,-2.5787513277644906e-19, 3.0828522536544395e-19, -7.220155715942383, -4.24247785299178e-20, -4.555307867136532e-20, -7.809099385444013e-20
1970/01/01/01:00:07.600000,[],0,-3.59010551316004e-19, 2.7423229334756133e-19, -7.220155715942383, -3.689525061841127e-20, -6.119121572619014e-20, -1.0489923249833898e-19
1970/01/01/01:00:07.610000,[],0,-3.7258719595680754e-19, 3.652686767131534e-20, -7.220156192779541, 1.999295540540668e-21, -6.277794847387145e-20, -1.0761933839453719e-19
1970/01/01/01:00:07.620000,[],0,-3.858550437351874e-19, -1.9642809852112982e-19, -7.220156192779541, 4.011575231759004e-20, -6.432666968746653e-20, -1.1027429089279977e-19
1970/01/01/01:00:07.630000,[],0,-3.988189543372423e-19, -4.2470433083617046e-19, -7.220156192779541, 7.746586503120025e-20, -6.58379803653892e-20, -1.1286511104419535e-19
1970/01/01/01:00:07.640000,[],0,-4.1148370990088856e-19, -6.483725467538313e-19, -7.220156669616699, 1.1406124005934117e-19, -6.731248150605326e-20, -1.1539281989979255e-19
1970/01/01/01:00:07.650000,[],0,-4.238540150158601e-19, -8.675025654876907e-19, -7.220156669616699, 1.4991328990952663e-19, -6.875076118317544e-20, -1.1785843851065999e-19
1970/01/01/01:00:07.660000,[],0,-1.8204186378048706e-19, -7.930540356112337e-19, -7.220156669616699, 1.3745931030571653e-19, -3.0735540327110046e-20, -5.268949862680987e-20
1970/01/01/01:00:07.670000,[],0,5.495226411714575e-20, -7.200151765949319e-19, -7.220156669616699, 1.2524066358617777e-19, 6.522445145777067e-21, 1.1181334766415991e-20
1970/01/01/01:00:07.680000,[],0,2.872010119369267e-19, -6.483650504295301e-19, -7.220157146453857, 1.132538730073982e-19, 4.303462066769679e-20, 7.37736345071447e-20
1970/01/01/01:00:07.690000,[],0,5.147760535864638e-19, -5.780830809972909e-19, -7.220157146453857, 1.0149548767525984e-19, 7.881225011214662e-20, 1.3510670524603915e-19
1970/01/01/01:00:07.700000,[],0,5.15741528457678e-19, -5.250014018249029e-19, -7.220157146453857, 9.288800131739789e-20, 7.792297925486383e-20, 1.3358225015119513e-19
1970/01/01/01:00:07.710000,[],0,5.166361242901541e-19, -4.729288829998295e-19, -7.220157146453857, 8.444337906732939e-20, 7.704370565076557e-20, 1.3207492027997038e-19
1970/01/01/01:00:07.720000,[],0,5.174611335535992e-19, -4.218504801746801e-19, -7.220157623291016, 7.615920400670203e-20, 7.617431297757819e-20, 1.305845346866059e-19
1970/01/01/01:00:07.720000,[],0,5.182179521152969e-19, -3.717514591947934e-19, -7.220157623291016, 6.803309799125472e-20, 7.53146913753766e-20, 1.291108995006456e-19
1970/01/01/01:00:07.740000,[],0,5.189077690473779e-19, -3.226172668512674e-19, -7.220157623291016, 6.006270872612053e-20, 7.446473098423569e-20, 1.2765382085163344e-19
1970/01/01/01:00:07.750000,[],0,4.0551878125679796e-19, -3.700620978900187e-19, -7.220157623291016, 6.869194734915321e-20, 5.620314214908492e-20, 9.634823999137499e-20
1970/01/01/01:00:07.760000,[],0,2.9435702896430536e-19, -4.1652103303618336e-19, -7.220157623291016, 7.714173301570164e-20, 3.830116362289305e-20, 6.565913486966728e-20
1970/01/01/01:00:07.770000,[],0,1.8538906305387996e-19, -4.620091683359405e-19, -7.220158100128174, 8.541481222389342e-20, 2.0753394497871468e-20, 3.5577248172233126e-20
1970/01/01/01:00:07.780000,[],0,7.858193201033888e-20, -5.065413154921335e-19, -7.220158100128174, 9.351388623541643e-20, 3.554506971549382e-21, 6.0934405226560834e-21
1970/01/01/01:00:07.790000,[],0,8.156901044923858e-20, -7.1613616481115275e-19, -7.220158100128174, 1.2979190178932402e-19, 2.8707642431950943e-21, 4.921310246590671e-21
1970/01/01/01:00:07.800000,[],0,1.3657268901133333e-19, -6.698513253345364e-19, -7.220158100128174, 1.2063100575226995e-19, 1.139705442288187e-20, 1.9537807351285045e-20
1970/01/01/01:00:07.810000,[],0,2.6273753306158303e-19, -6.792967973517028e-19, -7.220158100128174, 1.2183248559200323e-19, 3.222752212056282e-20, 5.524717985491504e-20
1970/01/01/01:00:07.820000,[],0,3.863528255181853e-19, -6.8848548148745985e-19, -7.220158100128174, 1.2299775043054316e-19, 5.263815849886903e-20, 9.023684221772569e-20
1970/01/01/01:00:07.830000,[],0,5.074571595265946e-19, -6.974215136448702e-19, -7.220158576965332, 1.2412742065334917e-19, 7.26353176619981e-20, 1.2451769480610935e-19
1970/01/01/01:00:07.840000,[],0,6.260886629431707e-19, -7.0610908142578495e-19, -7.220158576965332, 1.2522207787178947e-19, 9.222527455037806e-20, 1.5810046511863508e-19
1970/01/01/01:00:07.850000,[],0,6.121412604421844e-19, -7.545835713814058e-19, -7.220158576965332, 1.3034842632051029e-19, 8.764400581358701e-20, 1.502468634162357e-19
1970/01/01/01:00:07.860000,[],0,5.984115615386644e-19, -8.020130737294307e-19, -7.220158576965332, 1.353592279774151e-19, 8.314559730971904e-20, 1.4253531705934526e-19
1970/01/01/01:00:07.870000,[],0,5.848966711004668e-19, -8.4841382188938105e-19, -7.220158576965332, 1.402562793753968e-19, 7.872884704194654e-20, 1.349637322470382e-19
1970/01/01/01:00:07.880000,[],0,5.715935388990827e-19, -8.938017390880485e-19, -7.220158576965332, 1.4504135119795415e-19, 7.43925530134419e-20, 1.275300927265714e-19
1970/01/01/01:00:07.890000,[],0,7.265259151963368e-19, -1.0024507751735464e-18, -7.220158576965332, 1.6332575212343548e-19, 1.0166412912264409e-19, 1.7428135867109113e-19
1970/01/01/01:00:07.900000,[],0,8.782869327238508e-19, -1.108826615538172e-18, -7.220158576965332, 1.8122811192819095e-19, 1.2838009835415207e-19, 2.200801907637414e-19
1970/01/01/01:00:07.910000,[],0,1.0269249815474592e-18, -1.2129640017676527e-18, -7.22015905380249, 1.98754324274085e-19, 1.5454892638454744e-19, 2.649410129664536e-19
1970/01/01/01:00:07.920000,[],0,1.1724875728535954e-18, -1.3148974686525623e-18, -7.22015905380249, 2.1591011480192015e-19, 1.8017891086934986e-19, 3.088781329188855e-19
1970/01/01/01:00:07.930000,[],0,1.3150216491420218e-18, -1.4146606204052859e-18, -7.22015905380249, 2.327012091524989e-19, 2.0527828484059366e-19, 3.5190561269145046e-19
1970/01/01/01:00:07.940000,[],0,1.1814701339204618e-18, -1.43443003025015e-18, -7.22015905380249, 2.3440600254557656e-19, 1.856875460080409e-19, 3.183215111351264e-19
1970/01/01/01:00:07.950000,[],0,1.0504716082619702e-18, -1.453660531925936e-18, -7.22015905380249, 2.3605322933789935e-19, 1.664700595022056e-19, 2.853772337826121e-19
1970/01/01/01:00:07.960000,[],0,9.219880218583695e-19, -1.4723610176242286e-18, -7.22015905380249, 2.3764392350523296e-19, 1.476202677033472e-19, 2.5306331975565153e-19
1970/01/01/01:00:07.970000,[],0,7.959818413893651e-19, -1.4905403795366127e-18, -7.22015905380249, 2.3917904147516067e-19, 1.2913271638930169e-19, 2.2137035987477683e-19
1970/01/01/01:00:07.980000,[],0,6.681244824082554e-19, -1.520452264462296e-18, -7.22015905380249, 2.408178672143872e-19, 1.0772214143504104e-19, 1.846665207888149e-19
1970/01/01/01:00:07.990000,[],0,8.451597450583857e-19, -1.384917376926987e-18, -7.22015905380249, 2.20295955656647e-19, 1.3647347903661525e-19, 2.339545428768816e-19
1970/01/01/01:00:08.000000,[],0,8.761210636874573e-19, -1.3351346491338252e-18, -7.22015905380249, 2.1288720910273926e-19, 1.4105720992819835e-19, 2.418123451058291e-19
1970/01/01/01:00:08.010000,[],0,9.063756081818905e-19, -1.2862140503340969e-18, -7.22015905380249, 2.0560535722467596e-19, 1.4553515217425417e-19, 2.494888396842626e-19
1970/01/01/01:00:08.020000,[],0,9.359343903835901e-19, -1.2381432762161903e-18, -7.22015905380249, 1.9844859056486716e-19, 1.4990898598540194e-19, 2.5698684419614367e-19
1970/01/01/01:00:08.030000,[],0,9.648083704356724e-19, -1.1909100224684935e-18, -7.22015905380249, 1.914150996657229e-19, 1.541803527981697e-19, 2.643091762254338e-19
1970/01/01/01:00:08.040000,[],0,1.033293651878658e-18, -1.0255433831293425e-18, -7.220159530639648, 1.6448463216162227e-19, 1.6056418379903306e-19, 2.7525290497648105e-19
1970/01/01/01:00:08.050000,[],0,1.10030593144584e-18, -8.633815516759515e-19, -7.220159530639648, 1.3807630949449866e-19, 1.6680429216846531e-19, 2.8595021145316995e-19
1970/01/01/01:00:08.060000,[],0,1.1658679566040632e-18, -7.043766033315809e-19, -7.220159530639648, 1.1218235099671525e-19, 1.7290290095436272e-19, 2.964049730646218e-19
1970/01/01/01:00:08.070000,[],0,1.2300020612298668e-18, -5.484812854037386e-19, -7.220159530639648, 8.679506001116618e-20, 1.7886225905401565e-19, 3.066210155211697e-19
1970/01/01/01:00:08.080000,[],0,1.1272851509072929e-18, -7.582472060131914e-19, -7.220159530639648, 1.198948408564919e-19, 1.6285556456868444e-19, 2.7918097891034224e-19
1970/01/01/01:00:08.090000,[],0,1.0265097368799575e-18, -9.63742031228515e-19, -7.220159530639648, 1.523206310613003e-19, 1.4715271678679868e-19, 2.522618075914818e-19
1970/01/01/01:00:08.100000,[],0,9.276472814167276e-19, -1.1650305396314298e-18, -7.220159530639648, 1.840826863727173e-19, 1.3174921791377763e-19, 2.258557984451339e-19
1970/01/01/01:00:08.110000,[],0,8.306692467864701e-19, -1.3621767343218322e-18, -7.220159530639648, 2.1519107512976136e-19, 1.1664060892913172e-19, 1.9995533882472372e-19
1970/01/01/01:00:08.120000,[],0,7.355477673422995e-19, -1.555243791219006e-18, -7.220159530639648, 2.4565578812326845e-19, 1.0182251482290239e-19, 1.7455288070716166e-19
1970/01/01/01:00:08.120000,[],0,7.7770275251438e-19, -1.6252952357542842e-18, -7.220159530639648, 2.5995686203490946e-19, 1.0678778277202558e-19, 1.8306477600548545e-19
1970/01/01/01:00:08.140000,[],0,8.189368788695359e-19, -1.6937829987391075e-18, -7.220159530639648, 2.73945907909859e-19, 1.116430680114219e-19, 1.9138811289823837e-19
1970/01/01/01:00:08.150000,[],0,8.59264466972122e-19, -1.7607316887966994e-18, -7.220159530639648, 2.876278112836099e-19, 1.1639007660110472e-19, 1.995258511410497e-19
1970/01/01/01:00:08.160000,[],0,8.98699475494975e-19, -1.8261653975624004e-18, -7.220159530639648, 3.0100727674589614e-19, 1.2103050813873892e-19, 2.0748088586606338e-19
1970/01/01/01:00:08.170000,[],0,1.0437447687255359e-18, -1.518619335622455e-18, -7.220159530639648, 2.4918702215825733e-19, 1.43885314593123e-19, 2.4666055407357896e-19
1970/01/01/01:00:08.180000,[],0,1.185784811393115e-18, -1.2170724010750504e-18, -7.220159530639648, 1.9837822851401187e-19, 1.6626864102304894e-19, 2.8503196342505366e-19
1970/01/01/01:00:08.190000,[],0,9.19534397366384e-19, -1.278598715422204e-18, -7.220159530639648, 2.0929471200363317e-19, 1.2085369828280571e-19, 2.0717777587035098e-19
1970/01/01/01:00:08.200000,[],0,6.585169863886051e-19, -1.3387664890108159e-18, -7.220159530639648, 2.199719335010735e-19, 7.633497988686955e-20, 1.3085997290588898e-19
1970/01/01/01:00:08.210000,[],0,4.026541255485561e-19, -1.3975971251392357e-18, -7.220159530639648, 2.3041361531908938e-19, 3.269899891384671e-20, 5.605542578625885e-20
1970/01/01/01:00:08.220000,[],0,1.5186825373911329e-19, -1.455111406720354e-18, -7.220159530639648, 2.4062342807164897e-19, -1.0067532840439071e-20, -1.7258627495668817e-20
1970/01/01/01:00:08.230000,[],0,8.166964214063448e-20, -1.4558708619202543e-18, -7.220159530639648, 2.410878899855975e-19, -2.0638988310571995e-20, -3.5381122356527096e-20
1970/01/01/01:00:08.240000,[],0,1.2866833202353559e-20, -1.456469637286166e-18, -7.220159530639648, 2.415189544823142e-19, -3.099694878772241e-20, -5.313762695483474e-20
1970/01/01/01:00:08.250000,[],0,-5.456120802021277e-20, -1.45691073134781e-18, -7.220159530639648, 2.419172677966526e-19, -4.1144651908506635e-20, -7.053369083239667e-20
1970/01/01/01:00:08.260000,[],0,-1.2063523212821222e-19, -1.4571973494300596e-18, -7.220159530639648, 2.422833986152839e-19, -5.108528845751411e-20, -8.757477467372544e-20
1970/01/01/01:00:08.270000,[],0,5.6116133088402e-20, -1.2707699679122725e-18, -7.220159530639648, 2.141153525925303e-19, -2.112714927218759e-20, -3.621797064248934e-20
1970/01/01/01:00:08.280000,[],0,2.2932685509055955e-19, -1.0879441307815412e-18, -7.220159530639648, 1.8648927789206084e-19, 8.233939186492534e-21, 1.4115325012095973e-20
1970/01/01/01:00:08.290000,[],0,3.9905043566178642e-19, -9.086660712980499e-19, -7.220159530639648, 1.5939705780411488e-19, 3.700698139341702e-20, 6.344053953157203e-20
1970/01/01/01:00:08.300000,[],0,5.653396398778756e-19, -7.328826431074419e-19, -7.220159530639648, 1.328307565646907e-19, 6.520086388561584e-20, 1.1177290951819858e-19
1970/01/01/01:00:08.310000,[],0,7.282465025692354e-19, -5.605415787347617e-19, -7.220160007476807, 1.0678249010857495e-19, 9.282434718432252e-20, 1.5912744862321087e-19
1970/01/01/01:00:08.320000,[],0,6.399645143211712e-19, -6.929480174946069e-19, -7.220160007476807, 1.297407199889223e-19, 7.899884396376268e-20, 1.354265914985499e-19
1970/01/01/01:00:08.330000,[],0,5.533841399907052e-19, -8.226370128458505e-19, -7.220160007476807, 1.5222681068526088e-19, 6.544195472243237e-20, 1.1218620255644245e-19
1970/01/01/01:00:08.340000,[],0,4.684799954727897e-19, -9.496499755179084e-19, -7.220160007476807, 1.742479612538593e-19, 5.2149653417193914e-20, 8.939940585804671e-20
1970/01/01/01:00:08.350000,[],0,3.852271361020772e-19, -1.074027644155949e-18, -7.220160007476807, 1.9581126735340962e-19, 3.911798509074356e-20, 6.705940301270324e-20
1970/01/01/01:00:08.360000,[],0,2.435675448174842e-19, -1.0536257513352115e-18, -7.220160007476807, 1.942859204544677e-19, 1.6584082708764564e-20, 2.8429855148975176e-20
1970/01/01/01:00:08.370000,[],0,1.0471679393683129e-19, -1.0335266066186683e-18, -7.220160007476807, 1.9277165002091573e-19, -5.500799541091651e-21, -9.429942185841911e-21
1970/01/01/01:00:08.380000,[],0,-3.136741907339533e-20, -1.0137260741032568e-18, -7.220160007476807, 1.9126839142926839e-19, -2.7143434200090364e-20, -4.653160102427287e-20
1970/01/01/01:00:08.390000,[],0,-1.6472681513534131e-19, -9.942201212834907e-19, -7.220160007476807, 1.897760800560403e-19, -4.8350503336617356e-20, -8.28865734557163e-20
1970/01/01/01:00:08.400000,[],0,-6.838940604011194e-20, -8.386641025031599e-19, -7.220160007476807, 1.6519346132309486e-19, -3.269158336890214e-20, -5.604271434668938e-20
1970/01/01/01:00:08.410000,[],0,2.6028095850749113e-20, -6.861353579696201e-19, -7.220160007476807, 1.410859803038787e-19, -1.7342575018733012e-20, -2.9730128141945983e-20
1970/01/01/01:00:08.420000,[],0,1.1855464024309407e-19, -5.365885478455457e-19, -7.220160007476807, 1.174465413396998e-19, -2.2988110568285486e-21, -3.940818896863686e-21
1970/01/01/01:00:08.430000,[],0,2.0921880525773436e-19, -3.8997903022725293e-19, -7.220160007476807, 9.426814570709408e-20, 1.2444307083639485e-20, 2.1333097857667688e-20
1970/01/01/01:00:08.440000,[],0,2.9804876188752367e-19, -2.4626273189772924e-19, -7.220160007476807, 7.154389161782559e-20, 2.689131859667215e-20, 4.609940238538818e-20
1970/01/01/01:00:08.450000,[],0,4.0000991347355965e-19, -3.20568237076397e-19, -7.220160007476807, 8.684555680262313e-20, 4.3297408839721496e-20, 7.422413128590786e-20
1970/01/01/01:00:08.460000,[],0,4.998918173429729e-19, -3.9335560733708854e-19, -7.220160007476807, 1.0183249915138985e-19, 5.937105002470695e-20, 1.0177894566907557e-19
1970/01/01/01:00:08.470000,[],0,5.977260873047994e-19, -4.646478744899846e-19, -7.220160007476807, 1.165095266514362e-19, 7.511727955231199e-20, 1.2877247923253484e-19
1970/01/01/01:00:08.480000,[],0,6.93543949427163e-19, -5.344678635501129e-19, -7.220160007476807, 1.3088135035484465e-19, 9.054107666208328e-20, 1.5521326873870116e-19
1970/01/01/01:00:08.490000,[],0,6.751435751948624e-19, -5.698288524597774e-19, -7.220160007476807, 1.3744434350650815e-19, 8.844803183133709e-20, 1.5162520481069048e-19
1970/01/01/01:00:08.500000,[],0,7.602933406559179e-19, -4.2887626795436994e-19, -7.220160007476807, 1.15314780578877e-19, 1.0100907962568452e-19, 1.7315842221545918e-19
1970/01/01/01:00:08.510000,[],0,8.436640991133133e-19, -2.906998566810553e-19, -7.220160007476807, 9.361626922326548e-20, 1.1330880296995055e-19, 1.9424365669504506e-19
1970/01/01/01:00:08.520000,[],0,9.252830958284745e-19, -1.552578977176878e-19, -7.220160007476807, 7.234237294053215e-20, 1.2535119559553017e-19, 2.148877712635929e-19
1970/01/01/01:00:08.530000,[],0,1.0051770590749447e-18, -2.25092679093614e-20, -7.220160007476807, 5.148671662384668e-20, 1.3714021245972713e-19, 2.350975255376709e-19
