time,.layout.dim,.layout.data_offset,.data,,,,,
1970/01/01/01:00:07.280000,[],0,-2.1314875327267087e-19, 1.7933176418476134e-18, -7.220160007476807, -3.413103596228353e-19, -2.773304272460448e-20, -4.754235757167585e-20
1970/01/01/01:00:07.290000,[],0,-3.465183146088633e-19, 1.641677547785897e-18, -7.220160007476807, -3.149519650604975e-19, -4.9238006741575667e-20, -8.440801063379421e-20
1970/01/01/01:00:07.300000,[],0,-4.771858646247571e-19, 1.4929060126909378e-18, -7.220160007476807, -2.8908928432962626e-19, -7.030794807335212e-20, -1.2052790544373346e-19
1970/01/01/01:00:07.310000,[],0,-4.308793375064554e-19, 1.5407182928674217e-18, -7.220160007476807, -2.9235478659283247e-19, -6.214406316836587e-20, -1.065326751012354e-19
1970/01/01/01:00:07.320000,[],0,-3.8545585154144813e-19, 1.5874201864691296e-18, -7.220160007476807, -2.9552575762166036e-19, -5.4137242413362396e-20, -9.280669851047188e-20
1970/01/01/01:00:07.330000,[],0,-3.409022752375111e-19, 1.633029374481655e-18, -7.220160007476807, -2.986037742291526e-19, -4.628514320699755e-20, -7.934596255300232e-20
1970/01/01/01:00:07.340000,[],0,-2.972057097469673e-19, 1.6775630209027084e-18, -7.220160007476807, -3.015903615295636e-19, -3.8585461722018404e-20, -6.614650580917441e-20
1970/01/01/01:00:07.350000,[],0,-2.543533337703221e-19, 1.7210382897300001e-18, -7.220160007476807, -3.0448704463714773e-19, -3.1035910287043364e-20, -5.320441855812413e-20
1970/01/01/01:00:07.360000,[],0,-3.7408452211249923e-19, 1.7431762278613333e-18, -7.220160007476807, -3.107539717530026e-19, -4.845205591267958e-20, -8.306066912526457e-20
1970/01/01/01:00:07.370000,[],0,-4.913836443574056e-19, 1.7646967790629723e-18, -7.220160007476807, -3.1686448418490253e-19, -6.55150309596726e-20, -1.1231148164515302e-19
1970/01/01/01:00:07.380000,[],0,-6.0628766513866465e-19, 1.7856108000804568e-18, -7.220160007476807, -3.2282111517347346e-19, -8.223019917730694e-20, -1.409660520397556e-19
1970/01/01/01:00:07.390000,[],0,-7.188329804032288e-19, 1.805927803490831e-18, -7.220160007476807, -3.2862629456176475e-19, -9.86028370731619e-20, -1.6903342759702208e-19
