time,.layout.dim,fault,Fx,Fy,Fz,Wx,Wy,Wz
1970/01/01/01:00:11.980000,[],0,-5.186197405229222e-14, -3.9431853642761874e-14, -2.564715623855591, 9.42193371933353e-13, -1.0519483504764504e-12, -2.7489763441890713e-16
1970/01/01/01:00:11.980000,[],0,-5.308335829278324e-14, -4.002264557094459e-14, -2.5026350021362305, 9.543478203880018e-13, -1.0718749022045615e-12, -2.7996283850392864e-16
1970/01/01/01:00:12.000000,[],0,-5.442405220609271e-14, -4.066498792429721e-14, -2.4424123764038086, 9.666768253924207e-13, -1.0922111739336549e-12, -2.8530441355777147e-16
1970/01/01/01:00:12.010000,[],0,-5.576391602711388e-14, -4.130496874979288e-14, -2.382269859313965, 9.791751827761819e-13, -1.1129469741633091e-12, -2.9053624490538567e-16
1970/01/01/01:00:12.020000,[],0,-5.71028345593659e-14, -4.194256771864087e-14, -2.322350263595581, 9.91838447310378e-13, -1.1340720029728857e-12, -2.9565997367310653e-16
1970/01/01/01:00:12.030000,[],0,-5.844067905384082e-14, -4.2577774666445814e-14, -2.2627809047698975, 1.0046619569256676e-12, -1.155576394122615e-12, -3.006773203966082e-16
1970/01/01/01:00:12.040000,[],0,-5.994117420297929e-14, -4.3284738857410354e-14, -2.204637050628662, 1.0176767198041836e-12, -1.177509912492214e-12, -3.054537391861752e-16
1970/01/01/01:00:12.050000,[],0,-6.144046995346444e-14, -4.3989429611944464e-14, -2.1468183994293213, 1.0308772065148464e-12, -1.1998619329003923e-12, -3.101307904231174e-16
1970/01/01/01:00:12.060000,[],0,-6.293844433255188e-14, -4.469182321312562e-14, -2.089437246322632, 1.0442584297276625e-12, -1.2226217217456425e-12, -3.1471003582443137e-16
1970/01/01/01:00:12.070000,[],0,-6.44349753674972e-14, -4.539189255589951e-14, -2.032593250274658, 1.0578155105328557e-12, -1.245778979107326e-12, -3.1919293122799515e-16
1970/01/01/01:00:12.080000,[],0,-6.607165308576343e-14, -4.615450342336687e-14, -1.9763203859329224, 1.0715826012988594e-12, -1.2693998413179641e-12, -3.2421287198989776e-16
1970/01/01/01:00:12.090000,[],0,-6.774337763925525e-14, -4.6931805230271406e-14, -1.9205480813980103, 1.0855540641743766e-12, -1.2934722737334425e-12, -3.2911240172439225e-16
1970/01/01/01:00:12.100000,[],0,-6.945058270884166e-14, -4.7724238433745694e-14, -1.8653490543365479, 1.099724478148545e-12, -1.3179847838107328e-12, -3.337679595002979e-16
1970/01/01/01:00:12.110000,[],0,-7.115563292661026e-14, -4.851442869397565e-14, -1.8109090328216553, 1.1140883137902846e-12, -1.3429262042674583e-12, -3.383239909049012e-16
1970/01/01/01:00:12.120000,[],0,-7.285862993651471e-14, -4.930244377359706e-14, -1.757183313369751, 1.1286872044630192e-12, -1.3683554072815851e-12, -3.427825076414518e-16
1970/01/01/01:00:12.130000,[],0,-7.45594856471285e-14, -5.0088276896346345e-14, -1.7042109966278076, 1.1435221259487038e-12, -1.3942766212415858e-12, -3.4714520377584427e-16
1970/01/01/01:00:12.140000,[],0,-7.641298347110109e-14, -5.0944830493927784e-14, -1.6514003276824951, 1.1585940540292938e-12, -1.4206925566528916e-12, -3.51090736183714e-16
1970/01/01/01:00:12.150000,[],0,-7.826359460678944e-14, -5.1799198746505307e-14, -1.599493384361267, 1.1738967003321887e-12, -1.4475910704511707e-12, -3.549498977007434e-16
1970/01/01/01:00:12.160000,[],0,-8.011120385771273e-14, -5.265134777276102e-14, -1.5485295057296753, 1.1894237764847881e-12, -1.4749596943114396e-12, -3.5872401181591255e-16
1970/01/01/01:00:12.170000,[],0,-8.195568247486296e-14, -5.3501230138849887e-14, -1.4985418319702148, 1.2051693193751434e-12, -1.5027863935895835e-12, -3.6241437554842193e-16
1970/01/01/01:00:12.180000,[],0,-8.395961335026791e-14, -5.442755214623077e-14, -1.4483695030212402, 1.2211695413558155e-12, -1.5311060795955567e-12, -3.6526906186912613e-16
1970/01/01/01:00:12.190000,[],0,-8.595947169126247e-14, -5.535162104597195e-14, -1.3992810249328613, 1.2374170698520315e-12, -1.5599066092650271e-12, -3.680564620100828e-16
1970/01/01/01:00:12.200000,[],0,-8.795512874883865e-14, -5.6273386016096605e-14, -1.3512910604476929, 1.2539053996507565e-12, -1.5891755142730113e-12, -3.7077763476247607e-16
1970/01/01/01:00:12.210000,[],0,-8.99464761027792e-14, -5.719280301089147e-14, -1.3044095039367676, 1.2706280255389557e-12, -1.6189003262945256e-12, -3.7343361244771033e-16
1970/01/01/01:00:12.220000,[],0,-9.193359506824705e-14, -5.810992962859696e-14, -1.2585601806640625, 1.2876370976411255e-12, -1.6491439290555743e-12, -3.76024500944904e-16
1970/01/01/01:00:12.230000,[],0,-9.412829809216441e-14, -5.913137004782271e-14, -1.2117401361465454, 1.3049253518027104e-12, -1.679891794247046e-12, -3.7670506544824325e-16
1970/01/01/01:00:12.240000,[],0,-9.631693636017943e-14, -6.015043199853257e-14, -1.1661776304244995, 1.3224854154489374e-12, -1.711131887224826e-12, -3.773596895675728e-16
1970/01/01/01:00:12.250000,[],0,-9.84994217808656e-14, -6.116706804688149e-14, -1.1218611001968384, 1.3403100244252508e-12, -1.7428511975628447e-12, -3.7798884975892555e-16
1970/01/01/01:00:12.260000,[],0,-1.0067564593400566e-13, -6.21812104302337e-14, -1.0787767171859741, 1.3583921314175296e-12, -1.7750369316754666e-12, -3.785929695387751e-16
1970/01/01/01:00:12.270000,[],0,-1.0302057194518446e-13, -6.328555165807312e-14, -1.0349215269088745, 1.3767896328217843e-12, -1.8077383123413227e-12, -3.777684094344026e-16
1970/01/01/01:00:12.280000,[],0,-1.0544631845205849e-13, -6.443607989846042e-14, -0.9913297891616821, 1.3955079496488776e-12, -1.840952737475199e-12, -3.7585300324286463e-16
1970/01/01/01:00:12.290000,[],0,-1.0786282891167565e-13, -6.558398572484303e-14, -0.9491502046585083, 1.414538625121864e-12, -1.8746668713903736e-12, -3.7396398742158953e-16
1970/01/01/01:00:12.300000,[],0,-1.1027004911392732e-13, -6.672920815084873e-14, -0.9083470106124878, 1.4338736361446669e-12, -1.9088678120809943e-12, -3.721010708030017e-16
1970/01/01/01:00:12.310000,[],0,-1.1266792484870489e-13, -6.787168619010533e-14, -0.8688845038414001, 1.4535047427807757e-12, -1.9435421154401222e-12, -3.7026385634040713e-16
1970/01/01/01:00:12.320000,[],0,-1.1505640190589972e-13, -6.901136563250421e-14, -0.8307273983955383, 1.4734242471947656e-12, -1.9786772047225565e-12, -3.684520263964506e-16
1970/01/01/01:00:12.330000,[],0,-1.1761438719649908e-13, -7.025060193939156e-14, -0.791495680809021, 1.4936821311067883e-12, -2.0142980165782642e-12, -3.643798096234071e-16
1970/01/01/01:00:12.340000,[],0,-1.2016036494803817e-13, -7.148686346656816e-14, -0.7537055611610413, 1.514269395638812e-12, -2.050392624783348e-12, -3.603783730410186e-16
1970/01/01/01:00:12.350000,[],0,-1.2269432160798982e-13, -7.272008245139822e-14, -0.7173072695732117, 1.5351774755936742e-12, -2.086948235752173e-12, -3.5644668432788056e-16
1970/01/01/01:00:12.360000,[],0,-1.2521624362382688e-13, -7.395020468377311e-14, -0.6822526454925537, 1.556397697353995e-12, -2.1239518390586687e-12, -3.525837111625885e-16
1970/01/01/01:00:12.370000,[],0,-1.2790478040852066e-13, -7.528628734971773e-14, -0.6460028886795044, 1.5779969561938167e-12, -2.161436828129748e-12, -3.472689499954822e-16
1970/01/01/01:00:12.380000,[],0,-1.3057823323048973e-13, -7.661900898892765e-14, -0.6112328767776489, 1.599965060612718e-12, -2.1993904093797756e-12, -3.420554357353524e-16
1970/01/01/01:00:12.390000,[],0,-1.332366291947884e-13, -7.794828828623993e-14, -0.5778814554214478, 1.6222926864720155e-12, -2.237799789223116e-12, -3.3694163313498216e-16
1970/01/01/01:00:12.400000,[],0,-1.3588000895899816e-13, -7.927407780780951e-14, -0.5458902716636658, 1.644970184372374e-12, -2.2766515235528306e-12, -3.3192611282627303e-16
1970/01/01/01:00:12.410000,[],0,-1.3850845383828192e-13, -8.059633011979137e-14, -0.5151901841163635, 1.6680656422102258e-12, -2.315997870913633e-12, -3.270090865674618e-16
1970/01/01/01:00:12.420000,[],0,-1.4134391356987464e-13, -8.206114824119148e-14, -0.48246726393699646, 1.6915685432244976e-12, -2.355823869315543e-12, -3.2156213532102463e-16
1970/01/01/01:00:12.430000,[],0,-1.441603862109217e-13, -8.352198191960772e-14, -0.4512662887573242, 1.7154850673675726e-12, -2.3961293019181262e-12, -3.162236572313952e-16
1970/01/01/01:00:12.440000,[],0,-1.4695795307658605e-13, -8.497877694493144e-14, -0.42151308059692383, 1.7398044810379432e-12, -2.4369002909335746e-12, -3.109920111722382e-16
1970/01/01/01:00:12.450000,[],0,-1.4973672258708492e-13, -8.643146555452688e-14, -0.39313724637031555, 1.764516159054319e-12, -2.478123609095384e-12, -3.05865582486998e-16
