time,data
1970/01/01/01:00:08.340000,0
1970/01/01/01:00:08.340000,0
1970/01/01/01:00:08.340000,0
1970/01/01/01:00:08.350000,0
1970/01/01/01:00:08.390000,0
1970/01/01/01:00:08.390000,0
1970/01/01/01:00:08.440000,0
1970/01/01/01:00:08.480000,0
1970/01/01/01:00:08.480000,0
1970/01/01/01:00:08.490000,0
1970/01/01/01:00:08.500000,0
1970/01/01/01:00:08.540000,0
1970/01/01/01:00:08.580000,0
1970/01/01/01:00:08.630000,0
1970/01/01/01:00:08.630000,0
1970/01/01/01:00:08.680000,0
1970/01/01/01:00:08.680000,0
1970/01/01/01:00:08.730000,0
1970/01/01/01:00:08.730000,0
1970/01/01/01:00:08.730000,0
1970/01/01/01:00:08.740000,0
1970/01/01/01:00:08.780000,0
1970/01/01/01:00:08.830000,0
1970/01/01/01:00:08.870000,0
1970/01/01/01:00:08.870000,0
1970/01/01/01:00:08.920000,0
1970/01/01/01:00:08.920000,0
1970/01/01/01:00:08.920000,0
1970/01/01/01:00:08.930000,0
1970/01/01/01:00:08.970000,0
1970/01/01/01:00:09.010000,0
1970/01/01/01:00:09.060000,0
1970/01/01/01:00:09.100000,0
1970/01/01/01:00:09.100000,0
1970/01/01/01:00:09.150000,0
1970/01/01/01:00:09.150000,0
1970/01/01/01:00:09.150000,0
1970/01/01/01:00:09.160000,0
1970/01/01/01:00:09.200000,0
1970/01/01/01:00:09.240000,0
1970/01/01/01:00:09.290000,0
1970/01/01/01:00:09.290000,0
1970/01/01/01:00:09.290000,0
1970/01/01/01:00:09.300000,0
1970/01/01/01:00:09.340000,0
1970/01/01/01:00:09.380000,0
1970/01/01/01:00:09.420000,0
1970/01/01/01:00:09.420000,0
1970/01/01/01:00:09.470000,0
1970/01/01/01:00:09.470000,0
1970/01/01/01:00:09.470000,0
1970/01/01/01:00:09.480000,0
1970/01/01/01:00:09.530000,0
1970/01/01/01:00:09.530000,0
1970/01/01/01:00:09.570000,0
1970/01/01/01:00:09.570000,0
1970/01/01/01:00:09.580000,0
1970/01/01/01:00:09.590000,0
1970/01/01/01:00:09.630000,0
1970/01/01/01:00:09.670000,0
1970/01/01/01:00:09.670000,0
1970/01/01/01:00:09.710000,0
1970/01/01/01:00:09.710000,0
1970/01/01/01:00:09.720000,0
1970/01/01/01:00:09.730000,0
1970/01/01/01:00:09.770000,0
1970/01/01/01:00:09.810000,0
1970/01/01/01:00:09.860000,0
1970/01/01/01:00:09.860000,0
1970/01/01/01:00:09.900000,0
1970/01/01/01:00:09.900000,0
1970/01/01/01:00:09.950000,0
1970/01/01/01:00:09.950000,0
1970/01/01/01:00:09.950000,0
1970/01/01/01:00:09.960000,0
1970/01/01/01:00:10.000000,0
1970/01/01/01:00:10.050000,0
1970/01/01/01:00:10.050000,0
1970/01/01/01:00:10.090000,0
1970/01/01/01:00:10.090000,0
1970/01/01/01:00:10.100000,0
1970/01/01/01:00:10.110000,0
1970/01/01/01:00:10.150000,0
1970/01/01/01:00:10.190000,0
1970/01/01/01:00:10.240000,0
1970/01/01/01:00:10.240000,0
1970/01/01/01:00:10.250000,0
1970/01/01/01:00:10.280000,0
1970/01/01/01:00:10.320000,0
1970/01/01/01:00:10.320000,0
1970/01/01/01:00:10.370000,0
1970/01/01/01:00:10.410000,0
1970/01/01/01:00:10.420000,0
1970/01/01/01:00:10.430000,0
1970/01/01/01:00:10.470000,0
1970/01/01/01:00:10.470000,0
1970/01/01/01:00:10.510000,0
1970/01/01/01:00:10.560000,0
1970/01/01/01:00:10.600000,0
1970/01/01/01:00:10.600000,0
1970/01/01/01:00:10.650000,0
1970/01/01/01:00:10.650000,0
1970/01/01/01:00:10.660000,0
1970/01/01/01:00:10.700000,0
1970/01/01/01:00:10.700000,0
1970/01/01/01:00:10.740000,0
1970/01/01/01:00:10.790000,0
1970/01/01/01:00:10.790000,0
1970/01/01/01:00:10.830000,0
1970/01/01/01:00:10.840000,0
1970/01/01/01:00:10.850000,0
1970/01/01/01:00:10.890000,0
1970/01/01/01:00:10.940000,0
1970/01/01/01:00:10.940000,0
1970/01/01/01:00:10.980000,0
1970/01/01/01:00:11.030000,0
1970/01/01/01:00:11.030000,0
