time,.layout.dim,.layout.data_offset,.data,,,,,
1970/01/01/01:00:05.750000,[],0,-3.565913582170161e-20, 3.3957370038912875e-20, -7.220160007476807, -3.052970483272932e-20, -2.7714667036543586e-20, -4.751085685373921e-20
1970/01/01/01:00:05.760000,[],0,1.1179356076073756e-21, -8.05916739372873e-21, -7.220160007476807, -2.308532327340929e-20, -2.0715877333448213e-20, -3.551293487960713e-20
1970/01/01/01:00:05.770000,[],0,3.715935387836297e-20, -4.9234568772154743e-20, -7.220160007476807, -1.5787522319160203e-20, -1.3854992532514782e-20, -2.375141692401615e-20
1970/01/01/01:00:05.780000,[],0,7.247622756574942e-20, -8.958154068917323e-20, -7.220160007476807, -8.634096693544298e-21, -7.129940643244075e-21, -1.222275596541382e-20
1970/01/01/01:00:05.790000,[],0,1.821948404950211e-19, 2.1360761879278759e-19, -7.220160007476807, -5.615382796740998e-20, 1.0256012082240387e-20, 1.758173522892454e-20
1970/01/01/01:00:05.790000,[],0,8.957015403105355e-20, 6.565961308345892e-20, -7.220160007476807, -3.48282522834377e-20, -4.8243633055503926e-21, -8.270337556825568e-21
1970/01/01/01:00:05.810000,[],0,2.0472042906560907e-19, 2.5974471605718375e-19, -7.220160007476807, -6.651084655726134e-20, 1.3643759361519722e-20, 2.338930083941259e-20
1970/01/01/01:00:05.820000,[],0,3.1754724423238263e-19, 4.499221467313742e-19, -7.220160007476807, -9.755313841348358e-20, 3.174115607625298e-20, 5.441340764685573e-20
1970/01/01/01:00:05.820000,[],0,4.2808574178271067e-19, 6.3625104205747925e-19, -7.220160007476807, -1.279648278372563e-19, 4.94734300987265e-20, 8.481159076218912e-20
1970/01/01/01:00:05.840000,[],0,5.3637068915171455e-19, 8.18789744118078e-19, -7.220160007476807, -1.5775549202910925e-19, 6.684611319928674e-20, 1.1459333691306298e-19
1970/01/01/01:00:05.850000,[],0,4.377952653610405e-19, 7.383042950348442e-19, -7.220160007476807, -1.4260295199911854e-19, 5.095882675902153e-20, 8.735798872975119e-20
